Block,Time,BSIUL,DHAULIGNGA,NAPP,NNTPP,RIHAND1,SASAN,TALA,UNCHAHAR3,UNCHAHAR4,AURY_RF,KISHANGANGA,NLCIIST2,SALAL,SEWA2,SIMHST2,VALLURNTECL,AURY_CRF,DULHASTI,FSTPP I & II,KHSTPP-II,KUDGI,NTPL,PARBATI2,RSTPSU1TO6,TANDA2,ANTA_LF,CHAMERA1,DADRT2,KKNP,KOLDAM,PARBATI3,RAMPUR,TEHRI,AURY_GF,DADRI_RF,KGSU1AND2,NLCEXP,RAPPB,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,DADRI_CRF,BRBCL,KGSU3AND4,KOTESHWR,NLCTS2EXP,RAPPD,TALST2,TelanganaSTPP,URI,ANTA_CRF,ANTA_GF,DADRI_LF,CHAMERA2,JHAJJAR,KKNPPU2,RAPPC,RIHAND2,RSTPSU7,URI2,ANTA_RF,AURY_LF,CHAMERA3,KHSTPP-I,MAPS,NJPC,NLCIIST1,RIHAND3,SINGRAULI,TEHRIPSP,UNCHAHAR1,UNCHAHAR2,DADRI_GF
28,06:45-07:00,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.6,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

29,07:00-07:15,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.6,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

30,07:15-07:30,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.6,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

31,07:30-07:45,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.6,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

32,07:45-08:00,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.6,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

33,08:00-08:15,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.09,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

34,08:15-08:30,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.09,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

