Block,Time,CHAMERA2,DADRT2,DULHASTI,CHAMERA3,DHAULIGNGA,UNCHAHAR4,URI2,NAPP,SEWA2,JHAJJAR,RIHAND2,UNCHAHAR1,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,TEHRI,UNCHAHAR3,SINGRAULI_HYDRO,KOLDAM,RAPPC,NJPC,TANDA2,RIHAND3,SINGRAULI,UNCHAHAR2,KISHANGANGA,CHAMERA1,BSIUL,URI,RAPPB,TANAKPUR,SALAL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,48.499828,688.115947,59.175403,34.831253,43.536137,3.094586,37.890519,48.061828,18.800617,422.443799,124.384996,20.13161,0,4.272091,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.990882,179.962454,5.534073,130.580717,149.98895,44.306625,8.340651,42.14808,6.5208,36.432,0,3.7149,83.664,0,50.181709,0,0,0,70.607992,0,0,0,76.241354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,19.501072,0,20.0018,405

2,00:15-00:30,48.499828,688.115947,59.175403,34.831253,43.536137,3.094586,37.890519,48.061828,18.800617,422.443799,124.384996,20.13161,0,4.272091,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.990882,179.962454,5.534073,130.580717,149.98895,44.306625,8.340651,42.14808,6.5208,36.432,0,3.7149,83.664,0,50.181709,0,0,0,70.607992,0,0,0,76.241354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,19.501072,0,20.0018,405

3,00:30-00:45,48.499828,688.115947,59.175403,34.831253,43.536137,3.094586,37.890519,48.061828,12.527402,422.443799,124.384996,17.763186,0,4.272091,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.990882,179.962454,5.534073,130.580717,109.522133,44.306625,8.340651,42.14808,6.5208,36.432,0,3.7149,83.664,0,50.181709,0,0,0,70.607992,0,0,0,76.241354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,19.501072,0,20.0018,405

4,00:45-01:00,48.499828,688.115947,59.175403,34.831253,43.536137,3.094586,37.890519,48.061828,12.527402,422.443799,124.384996,17.763186,0,4.272091,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.990882,179.962454,5.534073,130.580717,109.522133,44.306625,8.340651,42.14808,6.5208,36.432,0,3.7149,83.664,0,50.181709,0,0,0,70.607992,0,0,0,76.241354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,19.501072,0,20.0018,405

5,01:00-01:15,48.499828,688.115947,59.175403,34.831253,43.536137,3.094586,37.890519,48.061828,11.100229,422.443799,124.384996,17.763186,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.990882,179.962454,5.534073,130.580717,109.522133,44.306625,8.340651,42.14808,6.5208,36.432,0,3.7149,83.664,0,50.181709,0,0,0,70.607992,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,19.501072,0,20.0018,405

