,,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,MEGHALAYA,DELHI,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,UTTARAKHAND,MAHARASHTRA,JAMMU AND KASHMIR,UTTAR PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,GOA,NA,NA,
,,HP,BCMLB001,BSHP,HP,TANGEDCO,JPNIGRIE_JNSTPP,Meghalaya_Ben,BSHP,HP,TANGEDCO,ITCWIND,Meghalaya_Ben,BYPL,KAMENG,Meghalaya_Ben,Meghalaya_Ben,BSHP,UTTARAKHAND,LMEL MSEB,SAPU1234,LAPL-UP,GBHHPL,DIKCHU,JPL-2,CHANJUII,JPNIGRIE_JNSTPP,HP,SKS Raigarh,Teesta_III,BSHP,KAMENG,GOA_Beneficiary,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,NDMC,BMDRC,BRPL,BYPL,BRPL,BYPL,JHPL-DL,BYPL,BRPL,ITCLH,BYPL,AMBASTL,TPDDL,BYPL,BYPL,MHIL,BYPL,BYPL,MES (Delhi),BYPL,DIAPL,NDMC,BRPL,TPDDL,BRPL,BRPL,NDMC,BRPL,MAX-HPTL,BRPL,BRPL,MES (Delhi),NDMC,
,,North-North,North-North,North-North,North-North,South-West-North,West-North,North East-East-North,North-North,North-North,South-East-North,South-West-North,North East-East-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,North-North,East-North,West-North,North-North,West-North,North-North,West-North,East-North,North-North,North East-East-North,West-North,West-North,North-North,
9,02:00-02:15,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,23.160000,0.580000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1163.38

10,02:15-02:30,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,23.160000,0.580000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1163.38

11,02:30-02:45,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,23.160000,0.580000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1163.38

12,02:45-03:00,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,23.160000,0.580000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1164.4

13,03:00-03:15,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,0.000000,0.530000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1104.68

14,03:15-03:30,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,0.000000,0.530000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1104.68

15,03:30-03:45,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,0.000000,0.530000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1104.68

16,03:45-04:00,77.900000,0.000000,0.930000,95.800000,98.710000,85.140000,63.140000,0.970000,33.390000,0.000000,0.530000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1104.68

