,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,SIKKIM,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MP,Gujarat,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,MEGHALAYA,ANDHRA PRADESH,UTTAR PRADESH,NA,GOA,NA,
,,RSRPL_BKN,HP,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SEIL,UTTARAKHAND,Meghalaya_Ben,HP,Teesta_III,HP-GOVT,Arunachal_Ben,RKM_POWER,SIKKIM,OPGPGPLU2TN,CHANJUII,Meghalaya_Ben,JP BINA,SUGEN_GUVNL,GBHHPL,KWHEP,Meghalaya_Ben,HP,JHABUA_IPP,SEILP2,SINGOLI,Meghalaya_Ben,ITCWIND,BCMLB001,KAMENG,GOA_Beneficiary,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,NDMC,BRPL,BYPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,ITCLH,NDMC,TPDDL,BRPL,NDMC,
,,North-North,North-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,North East-East-North,North-North,East-North,North-North,North East-East-North,West-East-North,East-North,South-East-North,North-North,North East-East-North,West-North,West-East-North,North-North,North-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,West-North,
7,01:30-01:45,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,224.570000,143.960000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,24.950000,36.210000,0.620000,0.000000,106.060000,23.990000,62.380000,1383.15

8,01:45-02:00,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,192.900000,143.960000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,24.950000,36.210000,0.620000,0.000000,106.060000,23.990000,62.380000,1351.48

9,02:00-02:15,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,285.030000,143.960000,0.000000,0.000000,0.000000,0.000000,9.800000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,24.950000,36.210000,0.620000,0.000000,106.060000,23.990000,62.380000,1317.75

10,02:15-02:30,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,253.360000,143.960000,0.000000,0.000000,0.000000,0.000000,9.800000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,24.950000,36.210000,0.620000,0.000000,106.060000,23.990000,62.380000,1286.08

11,02:30-02:45,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,211.130000,143.960000,0.000000,0.000000,0.000000,0.000000,9.800000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,24.950000,36.210000,0.620000,0.000000,106.060000,23.990000,62.380000,1243.85

12,02:45-03:00,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,171.790000,143.960000,0.000000,0.000000,0.000000,0.000000,9.800000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,32.630000,36.210000,0.620000,0.000000,106.060000,23.990000,62.380000,1212.19

