Block,Time,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2022_09,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/03112023/30112023/IEX-231101-05680,NR/01102023/06022042/L_NR_2012_07,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/02112023/15112023/D20231102NR21539,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2020_06,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-09,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01112023/30112023/HP-10,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,261.450000,26.080000,2.600000,15,101.200000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.080000,71.890000,48.310000,74.090000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

2,00:15-00:30,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,261.450000,26.080000,2.600000,15,101.200000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.080000,71.890000,48.310000,74.090000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

3,00:30-00:45,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,261.450000,26.080000,2.600000,15,101.200000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.080000,71.890000,48.310000,74.090000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

4,00:45-01:00,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,261.450000,26.080000,2.600000,15,101.200000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.080000,71.890000,48.310000,74.090000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

5,01:00-01:15,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,261.450000,26.080000,2.600000,15,101.200000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.000000,71.890000,48.310000,64.930000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

6,01:15-01:30,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,261.450000,26.080000,2.600000,15,101.200000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.000000,71.890000,48.310000,64.930000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

7,01:30-01:45,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,205.060000,26.080000,2.600000,15,89.860000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.000000,71.890000,48.310000,48.970000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

8,01:45-02:00,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,190.560000,26.080000,2.600000,15,89.860000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.000000,71.890000,48.310000,48.970000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

9,02:00-02:15,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,190.560000,26.080000,2.550000,15,89.860000,271.740000,6.61,0,2.100000,0.000000,27.050000,2.000000,71.890000,48.310000,48.970000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

10,02:15-02:30,0,0,20,6.67,0,0,0,0,0,0,0,0,6.66,15,0,0,0,190.560000,26.080000,2.550000,15,89.860000,271.740000,6.61,0,2.100000,0.000000,26.090000,2.000000,71.890000,48.310000,48.970000,144.93,48.310000,26.080000,6.66,48.310000,76.800000,0.000000,0.000000,49.290000,0.000000

