Block,Time,BSIUL,CHAMERA1,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SEWA2,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,DULHASTI,KOLDAM,SALAL,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TAPS-II,VSTPS V,VSTPS I,KSTPS7,SIPAT I,VSTPS IV,VSTPS III,MOUDA,VSTPS II,LARA-I,KAPS,KAWAS-zLIQ,GANDHAR-RLNG,GADARWARA-I,SIPAT II,KHARGONE-I,KAWAS-ComGas,KSTPS I&II,MOUDA_II,SOLAPUR,KAWAS-APM,KAWAS-NAPM,GANDHAR-ComGas,SASAN,GANDHAR-APM,KAWAS-RLNG,GANDHAR-NAPM
7,01:30-01:45,19.58,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,52.992,1.074768,38.673157,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,49.966,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.368269,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.501805,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

8,01:45-02:00,19.58,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,25.782105,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.368269,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.643952,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

9,02:00-02:15,13.09,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,0.716513,0,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,18.274474,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.378985,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.786101,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

10,02:15-02:30,13.09,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,0.716513,0,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.378985,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.928248,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

11,02:30-02:45,6.49,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,0.716513,0,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.378985,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.928248,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

