Block,Time,ANTA_LF,ANTA_RF,TEHRI,UNCHAHAR2,AURY_LF,URI2,NAPP,RAMPUR,KOLDAM,DADRI_GF,RIHAND2,DADRI_RF,RAPPB,SINGRAULI_HYDRO,SALAL,TANAKPUR,PARBATI3,DHAULIGNGA,SINGRAULI,CHAMERA1,CHAMERA3,DADRT2,KISHANGANGA,RAPPC,CHAMERA2,AURY_GF,RIHAND1,DADRI_CRF,KOTESHWR,SEWA2,BRBCL,KHSTPP-I,KHSTPP-II,SASAN,FSTPP I & II,TALA,AURY_RF,UNCHAHAR1,TANDA2,UNCHAHAR3,DULHASTI,ANTA_GF,ANTA_CRF,UNCHAHAR4,JHAJJAR,AURY_CRF,BSIUL,RIHAND3,URI,NJPC,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
14,03:15-03:30,0.000000,0.000000,35.550087,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.742237,0.000000,0.000000,144.844329,0.000000,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,20.038889,6.064169,16.046390,44.807592,143.213310,404.406189,17.881674,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,12.594273,60.876730,37.314648,0.000000,0.000000,0,0,0,0,0

15,03:30-03:45,0.000000,0.000000,35.550087,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.742237,0.000000,0.000000,144.844329,0.000000,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,20.038889,6.064169,17.268337,44.807592,143.213310,404.406189,17.881674,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,12.594273,60.876730,33.050117,0.000000,0.000000,0,0,0,0,0

16,03:45-04:00,0.000000,0.000000,35.550087,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.742237,0.000000,0.000000,144.844329,0.000000,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,20.038889,6.064169,19.314035,44.807592,143.213310,404.406189,17.881674,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,12.594273,60.876730,33.050117,0.000000,0.000000,0,0,0,0,0

17,04:00-04:15,0.000000,0.000000,35.550087,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.742237,0.000000,0.000000,144.844329,13.567467,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,20.038889,6.064169,19.314035,44.807592,143.213310,404.406189,17.881674,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,12.594273,60.876730,33.050117,0.000000,0.000000,0,0,0,0,0

18,04:15-04:30,0.000000,0.000000,35.550087,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.742237,0.000000,0.000000,144.844329,13.567467,11.200881,413.215884,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,20.038889,6.064169,19.314035,44.807592,143.213310,404.406189,17.881674,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,12.594273,60.876730,33.050117,0.000000,0.000000,0,0,0,0,0

