Block,Time,DADRT2,KOTESHWR,DULHASTI,KOLDAM,PARBATI3,CHAMERA3,DHAULIGNGA,RAMPUR,NJPC,CHAMERA2,KISHANGANGA,RAPPC,NAPP,JHAJJAR,UNCHAHAR1,SINGRAULI_HYDRO,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,RIHAND1,SEWA2,URI2,UNCHAHAR2,RAPPB,BSIUL,CHAMERA1,URI,TANAKPUR,SALAL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,572.5335,9.86,49.436556,0,0,19.35568,36.5917,0,140.3454,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,42.14808,48.576,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,35.206,98.34375,20.58,20.0018,12.51,417.375

2,00:15-00:30,646.8885,9.86,49.436556,0,0,19.35568,36.5917,0,140.3454,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,28.09872,48.576,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,35.206,98.34375,20.58,20.0018,12.51,417.375

3,00:30-00:45,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,140.3454,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,28.09872,15.456,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,20.58,20.0018,12.51,417.375

4,00:45-01:00,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,28.09872,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,20.58,20.0018,12.51,417.375

5,01:00-01:15,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,13.452,42.392196,0,6.5538,28.09872,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,36.42,98.34375,20.58,20.0018,12.51,417.375

6,01:15-01:30,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,13.983,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,36.42,98.34375,20.58,20.0018,12.51,417.375

7,01:30-01:45,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,37.634,98.34375,20.58,20.0018,12.51,417.375

8,01:45-02:00,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,37.634,98.34375,20.58,20.0018,12.51,417.375

9,02:00-02:15,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,37.634,98.34375,20.58,20.0018,12.51,417.375

10,02:15-02:30,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,37.634,98.34375,20.58,20.0018,12.51,417.375

11,02:30-02:45,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,37.8,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,39.455,98.34375,20.58,20.0018,12.51,417.375

12,02:45-03:00,686.779957,9.86,49.436556,0,0,19.35568,36.5917,0,116.9545,30.659,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,30.24,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,13.3224,85.988,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,39.455,98.34375,20.58,20.0018,12.51,417.375

13,03:00-03:15,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,30.24,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,39.455,98.34375,20.58,20.0018,12.51,417.375

14,03:15-03:30,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,30.24,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,39.455,98.34375,20.58,20.0018,12.51,417.375

15,03:30-03:45,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,30.24,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,39.455,98.34375,20.58,20.0018,12.51,417.375

16,03:45-04:00,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,30.24,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,39.455,98.34375,20.58,20.0018,12.51,417.375

17,04:00-04:15,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,16.695,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.074,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,38.848,98.34375,20.58,20.0018,12.51,417.375

18,04:15-04:30,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,16.695,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.074,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,38.848,98.34375,20.58,20.0018,12.51,417.375

19,04:30-04:45,686.779957,8.874,49.436556,0,0,19.35568,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,16.695,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.074,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,40.062,98.34375,20.58,20.0018,12.51,417.375

20,04:45-05:00,686.779957,8.874,49.436556,0,0,19.35568,36.5917,0,116.9545,39.51012,0,51.1407,39.516,653.1525,19.985,1.09041,123.665625,16.695,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,0,12.144,12.1695,82.502,0,81.104,0,0,0,64.074,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,40.062,98.34375,20.58,20.0018,12.51,417.375

