Block,Time,ANTA_CRF,SEWA2,DADRT2,TANDA2,URI2,KOTESHWR,RIHAND3,ANTA_LF,TANAKPUR,SALAL,DADRI_CRF,TEHRI,AURY_GF,ANTA_RF,DADRI_LF,RAPPB,DHAULIGNGA,AURY_LF,RAMPUR,CHAMERA3,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,RIHAND2,CHAMERA1,AURY_CRF,DULHASTI,KOLDAM,RAPPC,UNCHAHAR1,DADRI_RF,UNCHAHAR4,CHAMERA2,BRBCL,DADRI_GF,UNCHAHAR2,TALA,NJPC,PARBATI3,URI,NAPP,RIHAND1,KISHANGANGA,JHAJJAR,SINGRAULI_HYDRO,AURY_RF,ANTA_GF,UNCHAHAR3,BSIUL,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
27,06:30-06:45,0.000000,15.282514,361.658000,0.000000,29.918593,25.743474,119.584659,0.000000,0.000000,76.756805,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,35.338187,0.000000,0.000000,18.716943,11.033470,142.401290,44.867910,404.950590,107.220960,40.757193,0.000000,47.805150,0.000000,52.152728,6.701310,0.000000,0.000000,38.206286,19.340000,0.000000,22.550440,0.000000,90.476001,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,18.916841,134.712770,0,0,0,0,0

28,06:45-07:00,0.000000,15.282514,361.658000,0.000000,29.918593,25.743474,119.584659,0.000000,0.000000,76.756805,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,35.338187,0.000000,0.000000,18.716943,11.033470,142.401290,44.867910,404.950590,107.220960,40.757193,0.000000,47.805150,0.000000,52.152728,6.701310,0.000000,0.000000,38.206286,19.340000,0.000000,22.550440,0.000000,90.476001,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,18.916841,134.712770,0,0,0,0,0

29,07:00-07:15,0.000000,15.282514,361.658000,0.000000,29.918593,25.743474,119.584659,0.000000,0.000000,76.756805,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,35.338187,0.000000,0.000000,18.716943,11.033470,142.401290,44.867910,404.950590,107.220960,40.757193,0.000000,47.805150,0.000000,52.152728,6.701310,0.000000,0.000000,38.206286,19.340000,0.000000,22.550440,0.000000,90.476001,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,18.916841,134.712770,0,0,0,0,0

30,07:15-07:30,0.000000,15.282514,361.658000,0.000000,29.918593,25.743474,119.584659,0.000000,0.000000,24.720388,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,26.503640,0.000000,0.000000,18.716943,11.033470,142.401290,44.867910,404.950590,107.220960,40.757193,0.000000,47.805150,0.000000,52.152728,6.701310,0.000000,0.000000,38.206286,19.340000,0.000000,22.550440,0.000000,90.476001,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,18.916841,134.712770,0,0,0,0,0

31,07:30-07:45,0.000000,15.282514,361.658000,0.000000,29.918593,25.743474,119.584659,0.000000,1.858090,24.720388,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,26.503640,0.000000,0.000000,18.716943,11.033470,142.401290,44.867910,404.950590,107.220960,40.757193,0.000000,47.805150,0.000000,52.152728,6.701310,0.000000,0.000000,38.206286,19.340000,0.000000,22.550440,0.000000,90.476001,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,18.916841,134.712770,0,0,0,0,0

32,07:45:08:00,0.000000,15.282514,361.658000,0.000000,29.918593,17.448355,119.584659,0.000000,1.858090,24.720388,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,17.648655,0.000000,0.000000,18.716943,11.033470,123.061290,38.694022,404.950590,107.220960,40.757193,0.000000,31.870100,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,90.476001,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

33,08:00-08:15,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.371618,24.720388,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,8.814108,0.000000,0.000000,18.716943,11.033470,118.226290,34.004072,404.950590,88.830554,40.757193,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,58.607936,0.000000,33.094608,40.690586,71.339845,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

34,08:15-08:30,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.371618,24.720388,0.000000,46.543644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,101.332704,28.409396,404.950590,88.830554,40.757193,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,58.607936,0.000000,33.094608,40.690586,71.339845,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

35,08:30-08:45,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.371618,24.720388,0.000000,34.907733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,101.332704,28.409396,393.116413,88.830554,40.757193,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,36.629960,0.000000,33.094608,40.690586,71.339845,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

