timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
1,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5943,45.2591,0.0000,9.6642,9.6611,12.1063,0.0000,13.9178,5.4457,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,14.5638,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,6.8900,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,12.5300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
2,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5943,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,5.4457,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,14.5638,10.0692,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,6.8900,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,12.8000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
3,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5943,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,5.4457,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,8.1302,10.0692,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,6.8900,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,16.9500,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
4,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5943,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,5.4457,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,8.1302,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,6.8900,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,17.1600,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
5,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,5.4457,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,6.7741,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,7.0700,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,17.1400,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
6,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,5.4457,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,6.7741,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,7.0700,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,17.1200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
7,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,6.0501,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,6.7741,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,7.0700,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,17.1000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
8,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,6.0501,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,6.7741,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.5600,0.0000,0.0000,200.0000,7.0700,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,17.0800,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
9,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,6.0501,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,6.7741,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.4100,0.0000,0.0000,200.0000,6.9700,7.8400,0.0000,0.0000,0.0000,0.0000,0.0000,14.2200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
10,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,6.0501,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,6.7741,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.4100,0.0000,0.0000,200.0000,6.9700,7.8400,0.0000,0.0000,0.0000,0.0000,0.0000,13.8100,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
11,44EnNDPL2023/08/30,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,51.6780,0.0000,12.4614,51.0920,0.0000,0.0000,9.6400,0.0000,23.5254,578.0521,46.9220,0.0000,69.6064,0.0000,0.0000,58.0500,0.0000,272.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,63.6809,42.7403,6.1329,13.0053,8.0965,13.5023,45.2591,0.0000,9.6642,9.6611,24.2096,0.0000,13.9178,6.0501,1.5954,0.0000,5.7678,0.0000,0.0000,0.0000,15.7296,8.1179,0.0000,0.0000,0.0000,7.4522,6.1912,4.3105,12.1217,5.9396,11.2258,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,8.4100,0.0000,0.0000,200.0000,6.9700,7.8400,0.0000,0.0000,0.0000,0.0000,0.0000,13.0900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000
