timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
1,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,230.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,2.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,11.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
2,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,192.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,2.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,11.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
3,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,2.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,10.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
4,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,2.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,9.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
5,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,70.0700,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,9.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
6,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,70.0700,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,8.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
7,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,70.0700,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,8.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
8,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,11.8680,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,70.0700,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0080,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,8.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
9,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,11.8680,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,70.0700,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.6280,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,8.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
10,62EnNDPL2024/01/23,NDPL,0.0000,0.0000,0.0000,0.0000,11.8680,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,51.0920,0.0000,0.0000,14.4600,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,70.0700,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,17.3956,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,21.5190,0.0000,0.0000,2.8747,0.0000,0.0000,6.6514,0.0000,0.0000,0.0000,16.7789,0.0000,4.6726,0.0000,7.0625,0.6780,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1629,0.0000,0.0000,0.0000,0.0000,32.6280,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,9.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
