genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,6.3989244,1.0725264,
2,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,6.3989244,4.5485748,
3,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,6.3989244,4.5485748,
4,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.5580036,0,,,4.9664736,10.242144,6.3747684,0,0.7995636,4.5485748,
5,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.5580036,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,4.5485748,
6,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.5580036,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,4.5485748,
7,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,7.9424928,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.6183936,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,4.5485748,
8,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.6183936,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
9,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
10,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
11,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
12,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,2.0121948,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
13,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.6183936,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
14,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.495198,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
15,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.495198,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
16,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0.495198,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
17,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
18,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,0,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
19,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,3.9809088,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
20,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,3.9809088,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,1.5145812,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
21,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,3.9809088,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,0,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,27.5319,0,,,13.6904196,,0,,1.5145812,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
22,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,3.9809088,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,4.5751464,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,5.243634,27.5319,0,,,13.6904196,,0,,1.5145812,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
23,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,3.9809088,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,9.1502928,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,22.882431,27.5319,0,,,13.6904196,,0,,1.5145812,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
24,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0.8043948,0,8.3386512,0,5.8240116,1.7199072,280.292342,0,3.9809088,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,13.7254392,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,22.882431,27.5319,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
25,5.833674,0,0,1.26819,17.0517204,0,0,0,,1.5749712,0,3.1813452,0,8.3386512,0,5.8240116,1.7199072,280.292342,2.2054428,7.9618176,2.826252,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.6114982,22.875732,,,,,,,0.9227592,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,22.882431,27.5319,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
