genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,9.43195275,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,55.077264,,5.244063,10.91475,6.7131636,0.8334326,9.60201,9.50575725,
2,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,9.43195275,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,27.5368896,,5.244063,10.91475,6.7131636,0.8334326,9.60201,9.50575725,
3,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,7.98238485,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,9.50575725,
4,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,7.98238485,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,9.50575725,
5,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,7.98238485,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,9.50575725,
6,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,7.98238485,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,5.8674924,9.50575725,
7,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,7.98238485,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,5.8674924,6.0834895,
8,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.34805225,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,7.98238485,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,5.8674924,6.0834895,
9,0,0,0,12.519936,0,0,0,19.5492,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.38092025,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,8.7071688,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,5.8674924,6.0834895,
10,0,0,0,12.519936,0,0,0,19.5492,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,13.489619,224.6552165,0,14.0598744,4.5316656,7.38092025,,,10.9982268,35.823348,,,,2.2311146,,0,,8.9867745,42.86023885,,,,,,,0,8.7071688,1.475331,0,16.010731,0,36.7121964,30.3704588,42.205713,,,34.563672,21.10494375,0,,,16.3554149,,3.1958388,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,6.3989244,6.0834895,
