timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,82.3400,0.0000,13.5681,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,7.6900,4.5400,19.7400,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,10.4500,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,5.9800,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6800,18.2600,0.0000,846.1227,246.43,0.00,9.7700,0.00,1082.7827
2,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.7200,0.0000,13.5681,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,234.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,7.6900,4.5400,19.7400,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,10.4500,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5900,16.9600,0.0000,848.0227,246.43,0.00,9.7868,0.00,1084.6659
3,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0900,0.0000,13.5681,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,214.0200,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,7.2900,4.1900,19.7400,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4700,15.7100,0.0000,831.9127,168.43,0.00,10.3314,0.00,990.0113
4,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.3700,0.0000,13.5681,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,7.2900,4.1900,19.7400,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4800,14.5500,0.0000,821.7327,187.43,0.00,10.0746,0.00,999.0881
5,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.9000,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,234.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,19.7400,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3300,14.5300,0.0000,831.0088,184.26,0.00,10.1811,0.00,1005.0877
6,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.2200,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,19.7400,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1300,14.6600,0.0000,800.2788,201.26,0.00,9.7611,0.00,991.7777
7,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,29.8600,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,10.6600,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9600,14.8300,0.0000,789.4288,175.26,0.00,9.8944,0.00,954.7944
8,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,19.1000,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,8.7200,62.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,13.1000,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9000,11.0900,0.0000,769.7488,209.26,0.00,9.4221,0.00,969.5867
9,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7400,10.9500,0.0000,701.4988,272.41,0.00,8.7260,0.00,965.1828
10,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8100,10.8200,0.0000,701.3188,222.26,0.00,8.7055,0.00,914.8733
11,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,10.3700,0.0000,700.9188,275.32,0.00,8.7465,0.00,967.4923
12,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.9800,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.7000,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,16.8000,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9900,15.9500,0.0000,706.5588,246.26,0.00,8.5404,0.00,944.2784
13,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,1.4100,2.2900,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.9000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500,15.1800,0.0000,695.9488,280.16,0.00,8.7453,0.00,967.3635
14,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,22.5400,2.2900,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.8500,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,14.6100,0.0000,716.5088,246.26,0.00,8.6279,0.00,954.1409
15,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,22.5400,11.4400,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.8500,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8000,13.8600,0.0000,725.6588,205.26,0.00,9.0693,0.00,921.8495
16,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,1.4100,11.4400,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.8500,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7100,13.0600,0.0000,703.5488,222.26,0.00,8.7251,0.00,917.0837
17,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,24.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,1.4100,11.4400,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.9000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5700,11.3300,0.0000,711.3488,289.10,0.00,8.9595,0.00,991.4893
18,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,19.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,1.4100,11.4400,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.8500,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4400,10.7100,0.0000,705.7588,273.59,0.00,8.7739,0.00,970.5749
19,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,9.9500,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.6600,5.7100,4.8400,60.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,1.4100,11.4400,0.0000,5.5600,4.1100,15.5400,6.5400,0.0000,8.4000,4.8500,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3200,8.8100,0.0000,745.2588,213.47,0.00,9.1732,0.00,949.5556
20,BRPL,42DSBRPL2022/10/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2800,0.0000,14.2142,-0.1415,0.0000,0.0000,0.0000,0.0000,13.5600,19.3700,19.9100,0.0000,-0.9339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.7900,0.0000,0.0000,2.9100,27.5300,24.1200,70.9900,50.1400,26.6700,0.0000,9.5000,5.9800,4.8400,60.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,21.5500,12.1400,0.0000,0.0000,0.0000,1.4100,11.4400,0.0000,5.5600,4.1100,15.5400,12.6100,0.0000,8.4000,4.8500,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2100,7.1500,0.0000,759.5088,273.59,0.00,9.2469,0.00,1023.8519
