Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
00:00-00:15,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,22.59,0,0,0.670000000000002,3.59,4.61,2.52,15.58,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.75,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.279999999999999,0,0,0,1.88,1.41,1.56,1.81,1.3,0.41,2.2,0.849999999999998,1.48,0.23,0.239999999999999,0.66,0,0,960,0,-0.06,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
00:15-00:30,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.369999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.279999999999999,0,0,0,1.88,1.41,1.56,1.81,1.3,0.41,2.2,0.849999999999998,1.48,0.23,0.239999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
00:30-00:45,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.369999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.56,1.81,1.3,0.41,2.2,0.849999999999998,1.47000000000001,0.23,0.239999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
00:45-01:00,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.57,1.81,1.3,0.41,2.2,0.849999999999998,1.47000000000001,0.23,0.239999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
01:00-01:15,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.57,1.81,1.3,0.41,2.2,0.849999999999998,1.47000000000001,0.23,0.479999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
01:15-01:30,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.56,1.81,1.3,0.41,2.2,0.849999999999998,1.47000000000001,0.02,0.479999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
01:30-01:45,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.56,1.81,1.3,0.41,2.2,0.849999999999998,1.47000000000001,0.02,0.479999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
01:45-02:00,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,4,150,0,0,0,0,3.34,18.45,6.14000000000002,0,0,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.17,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.56,1.81,1.3,0.41,2.2,0.849999999999998,1.47000000000001,0.02,0.479999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
02:00-02:15,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,3,150,0,0,0,0,3.34,18.45,6.14000000000002,0,2.87,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.83,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.56,1.81,0.859999999999999,0.41,2.2,0.849999999999998,3.11999999999999,0.02,0.479999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.51,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
02:15-02:30,80DC2025/05/16,0,0,0,0,30,0,0,0,10,0,3,150,0,0,0,0,3.34,18.45,6.14000000000002,0,2.87,0,0,0,3.85000000000001,0,0,0,0,0,0,0,16.98,0,0,0.670000000000002,3.59,4.61,2.52,15.31,4.15000000000001,0.810000000000002,2.13,1.03,1.69,5.48000000000002,0,51.83,79.42,98.4,0.21,0.389999999999999,0.390000000000001,0,0,0.949999999999999,0,0,0.24,2.55999999999999,0.27,0,0,0,1.88,1.41,1.56,1.81,0.859999999999999,0.41,2.2,0.849999999999998,3.11999999999999,0.02,0.479999999999999,0.66,0,0,960,0,0.0499999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.38,0.32,0,1.19,0,0,300,300,200,200,18.51,100,100,100,0,0.829999999999998,0.4,0.279999999999999,0.800000000000001
