genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,0,159.00291,1.47240665,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
2,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,0,159.00291,0.7356195,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
3,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,1.948815,159.00291,0.7356195,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
4,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,3.734181,159.00291,0.7356195,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
5,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,7.466965,159.00291,0.7356195,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
6,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,9.334754,159.00291,0.7356195,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
7,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,32.34580635,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,11.037697,159.00291,0.7356195,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
8,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.9784196,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,11.037697,159.00291,0.6515487,,,34.33649175,,2.756281,,0.804672,0,,,2.9112292,5.922675,3.6872528,0,0,0,
9,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,3.31089,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.6238115,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,11.768328,159.00291,0.60834565,,,34.33649175,,2.036826,,1.610741,0,,,2.9112292,5.922675,3.6872528,0,0,0,
10,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,3.31089,5.5194348,4.05945155,0,0,0,11.4029234,75.2208248,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.4142713,4.6238115,0,0,7.1796032,1.8405255,0,16.5884499,20.3994384,,,11.768328,159.00291,0,,,34.33649175,,2.036826,,1.610741,0,,,2.9112292,5.922675,3.6872528,0,0,0,
