timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
1,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.2347,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,0.0000,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4013,0.0000,0.0000,0.0000,18.9400,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
2,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.2347,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,0.0000,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4013,0.0000,0.0000,0.0000,18.8600,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
3,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.2347,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,0.0000,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4013,0.0000,0.0000,0.0000,18.6600,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
4,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.2347,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,0.0000,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4013,0.0000,0.0000,0.0000,18.6300,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
5,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.1026,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,3.1877,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6680,0.0000,0.0000,0.0000,18.4600,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
6,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.1026,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,3.1877,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6680,0.0000,0.0000,0.0000,18.4700,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
7,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.1026,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,3.1877,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6680,0.0000,0.0000,0.0000,18.4600,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
8,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,13.1801,8.1026,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,3.1877,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6680,0.0000,0.0000,0.0000,18.4000,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5992
9,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,13.1801,8.1026,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,3.1877,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6680,0.0000,0.0000,0.0000,18.2400,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1326
10,56EnBYPL2023/07/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,9.5508,42.5855,0.0000,0.0000,8.8385,0.0000,19.4767,65.2301,38.8468,0.0000,57.6000,0.0000,0.0000,0.0000,104.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,165.0332,0.0000,0.0000,3.4595,0.0000,30.0050,50.3832,237.2406,69.0420,5.2222,10.7671,6.7031,8.1712,24.9784,0.0000,0.0000,16.5506,20.0431,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,12.9565,7.2441,0.0000,0.0000,0.0000,12.0574,8.1026,10.8356,0.0000,7.4727,9.2939,8.3414,0.0000,21.6941,3.1877,4.9936,0.0000,0.0000,0.0000,220.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6680,0.0000,0.0000,0.0000,17.9100,0.0000,0.0000,300.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1326
