Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL
96,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.0000,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.1400,0.0000,0.0000,5.6000,6.9500,0.0000,0.0000,0.0000,20.1700,6.7200,6.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9200,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,4.0500,6.6600,6.6600
95,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.0000,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.0700,0.0000,0.0000,5.6000,6.9500,0.0000,0.0000,0.0000,20.1700,6.7200,6.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9200,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.7300,6.7600,6.7600
94,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.1500,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,6.6400,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.0800,0.0000,0.0000,5.6000,6.9500,0.0000,0.0000,0.0000,20.4700,6.8200,6.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9200,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.2200,6.6400,6.6400
93,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.1200,0.0000,0.0000,5.6000,6.9500,0.0000,0.0000,0.0000,20.2500,6.7500,6.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9200,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.2800,6.7000,6.7000
92,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,50.5200,3.0900,76.9800,11.1800,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.1200,0.0000,0.0000,5.6900,6.9500,0.0000,0.0000,0.0000,20.4400,6.8100,6.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9200,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.3400,6.6900,6.6900
91,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,50.5200,3.0900,76.9800,11.1800,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.0800,0.0000,0.0000,5.6900,6.9500,0.0000,0.0000,0.0000,20.0300,6.6800,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9600,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.2000,6.7700,6.7700
90,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,3.0900,76.9800,11.1800,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.2100,0.0000,0.0000,5.6900,6.9500,0.0000,0.0000,0.0000,20.1200,6.7100,6.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9600,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.1900,6.8400,6.8400
89,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,3.0900,76.9800,11.1800,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.3300,44.0700,0.0000,0.0000,5.6900,6.9500,0.0000,0.0000,0.0000,20.1100,6.7000,6.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.7200,5.2600,2.8100,21.1700,1.0200,0.8100,2.9600,0.7900,0.4000,3.5800,0.4800,1.9000,4.2600,0.0000,4.3300,2.2500,9.3700,9.3700
88,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.1500,0.0000,0.0000,5.8800,7.3300,0.0000,0.0000,0.0000,20.3800,6.7900,6.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2600,11.2200,11.2200
87,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.1500,0.0000,0.0000,5.8800,7.3300,0.0000,0.0000,0.0000,20.1400,6.7100,6.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2100,6.6300,6.6300
86,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.5300,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.2100,0.0000,0.0000,5.8800,7.3300,0.0000,0.0000,0.0000,20.1600,6.7200,6.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2400,6.6100,6.6100
85,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,1.5500,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,47.9500,3.0900,76.9800,11.1800,6.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.2000,0.0000,0.0000,5.8800,7.3300,0.0000,0.0000,0.0000,20.0800,6.6900,6.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2900,6.7900,6.7900
84,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,1.5500,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,13.5800,76.9800,11.1800,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.1900,0.0000,0.0000,6.0600,7.3300,0.0000,0.0000,0.0000,20.0100,6.6700,6.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.3200,6.7500,6.7500
83,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,3.5900,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,47.4300,76.9800,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.0700,0.0000,0.0000,6.0600,7.3300,0.0000,0.0000,0.0000,20.4600,6.8200,6.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2300,6.6200,6.6200
82,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,3.5900,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,47.4300,81.1500,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.0800,0.0000,0.0000,6.0600,7.3300,0.0000,0.0000,0.0000,20.2800,6.7600,6.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.1800,6.6400,6.6400
81,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,3.5900,0.0000,0.0000,50.8700,27.4100,40.9000,38.3200,28.1900,35.4800,50.5200,47.4300,81.1500,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.5700,44.1100,0.0000,0.0000,6.0600,7.3300,0.0000,0.0000,0.0000,20.2600,6.7500,6.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.3300,6.8100,6.8100
80,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,3.5900,0.0000,0.0000,50.8700,27.4100,40.9000,38.3200,28.1900,35.4800,50.5200,47.4300,81.1500,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.9500,44.1200,0.0000,0.0000,6.2500,7.7100,0.0000,0.0000,0.0000,20.0800,6.6900,6.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2100,6.6200,6.6200
79,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,3.5900,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,47.4300,81.1500,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.9500,44.1100,0.0000,0.0000,6.2500,7.7100,0.0000,0.0000,0.0000,20.1600,6.7200,6.7100,0.1000,0.0200,0.0000,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.3600,6.8300,6.8300
78,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,5.6300,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,47.4300,81.1500,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.9500,44.2000,0.0000,0.0000,6.2500,7.7100,0.0000,0.0000,0.0000,20.4100,6.8000,6.8100,0.5000,0.1000,1.4700,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.3200,6.5900,6.5900
77,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,150.0500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,29.2700,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,7.6600,0.0000,0.0000,32.1400,20.6200,40.9000,38.3200,28.1900,35.4800,50.5200,13.5900,81.1500,9.2000,19.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,7.9500,44.1900,0.0000,0.0000,6.2500,7.7100,0.0000,0.0000,0.0000,20.2500,6.7500,6.7400,1.4600,0.2900,3.6300,0.0000,0.0000,0.0000,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.2400,6.6600,6.6600
76,39IS2022/09/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.5200,0.0000,33.0000,120.0000,0.0000,0.0000,30.0000,0.0000,65.9500,633.5600,148.3500,0.0000,285.9600,0.0000,0.0000,116.5200,72.2200,272.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.0600,0.0000,0.0000,17.6000,44.6200,114.5700,119.9600,338.5100,121.8100,21.1500,41.1300,25.6000,33.7600,143.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.3800,26.7800,15.3600,0.0000,36.2600,0.0000,0.0000,0.0000,24.2500,28.2300,0.0000,0.0000,0.0000,32.1400,20.6200,40.8800,38.3200,28.1900,35.4800,47.9500,13.5800,76.9800,9.2000,12.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,8.2000,44.0900,0.0000,0.0000,6.4400,7.8700,0.0000,0.0000,0.0000,20.0800,6.6900,6.7000,3.3300,0.6600,5.6700,0.0000,3.1100,6.2300,3.6200,15.3400,5.2600,2.8100,21.1700,1.0200,0.8100,2.9000,0.7900,0.4000,3.5800,0.4800,1.8400,4.1400,0.0000,4.3300,2.9700,9.0800,9.0800
