genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,7.264257,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0,0,,,3.467607,7.1528886,4.454736,0,5.5886688,4.0851954,
2,0,0,0,7.264257,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0,0,,,3.467607,7.1528886,4.454736,0,5.5886688,4.0851954,
3,0,0,0,7.264257,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.5886688,3.6329722,
4,0,0,0,7.264257,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.5886688,3.6329722,
5,0,0,0,7.264257,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.5886688,3.6329722,
6,0,0,0,7.2996924,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.5886688,3.6329722,
7,0,0,0,7.2996924,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.9615842,3.6329722,
8,0,0,0,7.2996924,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.9615842,3.6329722,
9,0,0,0,7.2996924,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.5886688,3.6329722,
10,0,0,0,7.2996924,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,13.516074,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.467607,7.1528886,4.454736,0,5.5886688,3.6329722,
