Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
02:30-02:45,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.21,70.81,90.42,0.00,13.55,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.00,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,6.54,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,40.01,13.33,13.33,300.00,300.00,100.00,200.00,0.00,10.67,24.66,24.67,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,200.00
02:45-03:00,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.21,70.81,90.42,0.00,13.55,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.00,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,6.54,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,40.50,13.50,13.50,300.00,300.00,100.00,200.00,0.00,10.67,23.66,23.67,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,200.00
03:00-03:15,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.42,70.81,90.42,0.00,13.55,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,6.54,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,40.50,13.50,13.50,300.00,300.00,100.00,200.00,0.00,10.33,23.34,23.33,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,200.00
03:15-03:30,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.42,70.81,90.42,0.00,13.55,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,6.54,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,40.50,13.50,13.50,300.00,300.00,100.00,200.00,0.00,9.67,22.66,22.67,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,200.00
03:30-03:45,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.42,70.81,90.42,0.00,27.09,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,28.50,9.50,9.50,300.00,300.00,100.00,200.00,0.00,7.33,22.34,22.33,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,200.00
03:45-04:00,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,27.09,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,28.01,9.33,9.33,300.00,300.00,100.00,200.00,0.00,7.33,22.00,22.00,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,200.00
04:00-04:15,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,27.49,9.17,9.17,300.00,300.00,100.00,200.00,0.00,7.33,20.34,20.33,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,200.00
04:15-04:30,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,28.01,9.33,9.33,300.00,300.00,100.00,200.00,0.00,7.00,19.66,19.67,0.00,0.00,0.00,16.68,25.50,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,200.00
04:30-04:45,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,200.00,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,37.50,12.50,12.50,300.00,300.00,100.00,200.00,0.00,7.00,32.34,32.33,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,200.00
04:45-05:00,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,200.00,6.60,0.00,200.00,1.20,0.92,0.00,0.00,0.00,37.99,12.67,12.67,300.00,300.00,100.00,200.00,0.00,7.00,33.00,33.00,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,200.00
05:00-05:15,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.16,0.92,0.00,0.00,0.00,37.50,12.50,12.50,300.00,300.00,100.00,200.00,0.00,9.33,32.34,32.33,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,200.00
05:15-05:30,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,70.12,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,9.14,42.39,26.40,45.53,148.30,0.00,44.52,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.16,0.92,0.00,0.00,0.00,36.00,12.00,12.00,300.00,300.00,100.00,200.00,0.00,9.00,31.34,31.33,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,200.00
05:30-05:45,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,0.00,0.00,320.00,0.00,0.00,65.98,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,11.42,42.39,26.40,45.53,148.30,0.00,44.73,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.16,100.00,0.00,0.00,0.00,40.99,13.67,13.67,300.00,300.00,100.00,200.00,0.00,9.00,30.00,30.00,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,200.00
05:45-06:00,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,20.84,0.00,320.00,0.00,0.00,65.98,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,11.42,42.39,26.40,45.53,148.30,0.00,44.73,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,0.00,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.16,100.00,0.00,0.00,0.00,40.50,13.50,13.50,300.00,300.00,100.00,200.00,0.00,9.00,28.66,28.67,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,200.00
06:00-06:15,66DC2025/02/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,165.00,0.00,0.00,165.00,0.00,90.20,434.65,41.67,0.00,320.00,0.00,0.00,65.98,0.00,271.78,0.00,0.00,0.00,0.00,0.00,0.00,683.14,0.00,0.00,20.80,92.00,118.76,62.16,411.75,139.69,11.42,42.39,26.40,45.53,148.30,0.00,44.73,70.81,90.42,0.00,40.64,17.75,0.00,0.00,43.79,0.00,0.00,0.00,26.14,0.00,0.00,0.00,0.00,0.55,4.31,0.00,0.00,0.00,8.06,16.48,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1020.00,0.00,0.63,0.62,6.60,0.00,200.00,1.16,0.92,0.00,0.00,0.00,40.01,13.33,13.33,300.00,300.00,100.00,200.00,0.00,9.00,26.00,26.00,0.00,0.00,0.00,16.68,26.15,100.00,300.00,300.00,200.00,200.00,17.50,100.00,100.00,100.00,200.00
