genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,4.727668,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,1.7775879,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,6.940032,4.45283575,0,8.1028948,5.58390525,
2,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,4.727668,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0.88879395,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,6.940032,4.45283575,0,8.1028948,5.58390525,
3,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,4.727668,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0.88879395,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,6.940032,4.45283575,0,7.4515584,5.58390525,
4,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,4.727668,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0.88879395,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,6.940032,4.45283575,0,7.4515584,5.58390525,
5,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,3.223132,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0.88879395,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,7.4515584,5.58390525,
6,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,3.223132,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0.88879395,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,7.4515584,5.58390525,
7,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,2.684924,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,8.1028948,5.58390525,
8,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,2.684924,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,8.1028948,5.58390525,
9,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,2.684924,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,7.4515584,5.58390525,
10,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,2.684924,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,7.4515584,5.58390525,
11,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,2.684924,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,7.4515584,5.58390525,
12,0,0,0,7.20818945,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,4.9032676,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,198.6908715,,,5.6848506,16.6833238,,,,0,,0,,6.8483217,25.8161145,,,,,,,2.684924,0,0,8.6923936,0,20.0419857,0,,,0,34.549515,0,,,23.0349966,,1.8358912,,2.1834956,0,,,3.469928,7.1544528,4.45283575,0,7.4515584,5.58390525,
