timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,14.3213,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6509,0.0000,0.0000,0.0000,4.9119,9.9040,4.3105,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
2,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,14.3213,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6509,0.0000,0.0000,0.0000,4.9119,9.9040,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
3,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,14.3213,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6509,0.0000,0.0000,0.0000,4.9119,9.9040,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
4,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,9.5475,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6969,0.0000,0.0000,0.0000,4.9119,9.9040,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
5,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,9.5475,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6969,0.0000,0.0000,0.0000,15.4443,9.9040,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
6,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,9.5475,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6969,0.0000,0.0000,0.0000,15.4443,9.9040,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
7,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,9.0438,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6969,0.0000,0.0000,0.0000,4.0651,3.3013,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
8,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,21.3244,26.9090,0.0000,4.7738,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6969,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,7.3623,5.9387,11.2118,15.1648,0.9758,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,20.0000,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
9,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,18.9906,26.9090,0.0000,4.7738,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6080,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,7.3623,5.9387,11.2118,15.1648,0.7812,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,6.3900,0.0000,0.0000,200.0000,20.0000,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
10,68EnNDPL2024/09/25,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4588,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,330.5323,40.6884,0.0000,69.6064,0.0000,0.0000,115.6600,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3266,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,64.2393,26.4649,6.3090,12.8295,0.0000,13.7815,30.3333,0.0000,8.6973,18.9906,26.9090,0.0000,4.7738,2.7222,0.0000,0.0000,11.3039,0.0000,0.0000,0.0000,15.7283,3.6080,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,7.3623,5.9387,11.2118,15.1648,0.7812,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,6.3900,0.0000,0.0000,200.0000,20.0000,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,16.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8535,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
