timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
1,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.1552,8.7796,18.6177,11.5905,13.5976,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,31.4422,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,21.3363,14.1774,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,15.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.3800,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.9500,23.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
2,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.1552,8.7796,18.6177,11.5905,13.5976,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,31.4422,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,21.3363,14.1774,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,15.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2200,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1500,24.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
3,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.1552,8.7796,18.6177,11.5905,13.5976,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,31.4422,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,14.1774,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,14.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.7500,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4200,26.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
4,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.1552,8.7796,18.6177,11.5905,13.5976,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,20.9615,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,14.1774,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,14.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.5100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7000,27.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
5,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.1552,8.7796,18.6177,11.5905,13.5976,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,20.9615,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,4.7258,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,14.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.8400,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9800,29.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
6,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.1552,8.7796,18.6177,11.5905,13.5976,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,11.5759,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,4.4315,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.3600,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2700,31.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
7,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.3034,8.7796,18.6177,11.5905,13.7294,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,11.5759,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,4.4315,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,15.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.4800,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6100,34.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
8,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.3034,8.7796,18.6177,11.5905,13.7294,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,11.5759,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,4.4315,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,26.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,30.4600,0.0000,300.0000
9,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.3034,8.7796,18.6177,11.5905,13.7294,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,4.4315,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,26.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,29.5000,0.0000,300.0000
10,45EnBRPL2023/09/18,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,15.5595,0.0000,33.6779,9.4250,51.3644,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,6.2586,63.7744,51.8827,73.2868,40.7138,20.3034,8.7796,18.6177,11.5905,13.7294,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.4646,0.0000,0.0000,0.0000,22.4036,6.4562,0.0000,0.0000,0.0000,3.8781,4.4315,12.3196,17.3528,12.7632,0.0000,21.7140,0.0000,64.1485,5.8501,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,26.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,29.5000,0.0000,300.0000
