Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
96,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.8401,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,41.7100,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,364.7700,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,3.1300,49.1500,26.8700,17.4700,0.0000,46.0500,0.0000,0.0000,1.2800,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.1900,40.6500,29.8400,21.5200,0.0000,36.4800,0.0000,34.7400,1.8500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.6500,5.5800,0.0000,0.0000,3.2500,0.0000,0.0000,0.0000,0.0000,26.6800,8.8900,8.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4800,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.0100,19.2000,19.2000,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
95,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.8401,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,46.7000,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,364.7700,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,3.1300,49.1500,26.8700,17.4700,0.0000,46.0500,0.0000,0.0000,1.4400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.1900,40.6500,44.7800,21.5200,0.0000,36.4800,0.0000,34.7400,1.8500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.6500,5.5100,0.0000,0.0000,3.2500,0.0000,0.0000,0.0000,0.0000,26.0700,8.6900,8.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4800,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.0000,19.7000,19.7000,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
94,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.8401,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,72.6300,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,358.2700,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,4.6900,49.1500,26.8700,17.4700,0.0000,46.0500,0.0000,0.0000,2.2400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,21.5200,0.0000,36.4800,0.0000,23.5400,1.8500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.6500,5.6200,0.0000,0.0000,3.2500,0.0000,0.0000,0.0000,0.0000,26.3200,8.7700,8.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4800,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.0000,20.2600,20.2600,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
93,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.8401,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,98.5600,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,358.2600,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,5.1600,49.1500,26.8700,17.4700,0.0000,46.0500,0.0000,0.0000,3.0300,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,21.5200,0.0000,54.9100,0.0000,23.5400,1.8500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.6500,5.6100,0.0000,0.0000,3.2500,0.0000,0.0000,0.0000,0.0000,26.8200,8.9400,8.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4800,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.0400,20.8400,20.8400,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
92,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.8401,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,128.1300,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,358.2700,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,5.1600,49.1500,27.9400,17.4700,0.0000,46.0500,0.0000,0.0000,3.9400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,1.8500,18.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.6500,5.5500,0.0000,0.0000,3.2500,0.0000,0.0000,0.0000,0.0000,27.0600,9.0200,9.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4800,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.0700,21.4400,21.4400,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
91,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.8401,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,128.1300,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,367.4900,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,27.9400,17.4700,0.0000,46.0500,0.0000,0.0000,3.9400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,1.8500,18.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.6500,5.5700,0.0000,0.0000,3.3900,0.0000,0.0000,0.0000,0.0000,27.0400,9.0100,9.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,1.0100,1.5000,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.1000,21.9900,21.9900,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
90,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,128.1300,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,437.2600,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,27.9400,17.4700,0.0000,46.0500,0.0000,0.0000,3.9400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,0.6200,18.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.4100,5.5700,0.0000,0.0000,3.3900,0.0000,0.0000,0.0000,0.0000,32.4900,10.8300,10.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,1.0100,1.5000,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.1400,22.5800,22.5800,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
89,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,128.1300,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,437.2600,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,27.9400,17.4700,0.0000,46.0500,0.0000,0.0000,3.9400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,0.6200,18.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.4100,5.5700,0.0000,0.0000,3.3900,0.0000,0.0000,0.0000,0.0000,32.3300,10.7800,10.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,1.0100,1.4900,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.1900,23.7600,23.7600,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
88,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,93.3700,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.1300,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,26.4500,17.4700,0.0000,46.0500,0.0000,0.0000,2.8700,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,0.6200,12.6400,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.5800,0.0000,0.0000,3.4800,0.0000,0.0000,0.0000,0.0000,31.8100,10.6000,10.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.2500,24.9300,24.9300,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
87,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,76.8900,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.1300,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,26.4500,17.4700,0.0000,46.0500,0.0000,0.0000,2.3600,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,0.6200,6.3200,0.0000,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.5700,0.0000,0.0000,3.4800,0.0000,0.0000,0.0000,0.0000,32.2000,10.7300,10.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.9200,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.3000,22.0600,22.0600,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
86,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,36.0001,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,73.1400,0.0000,275.4250,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.1300,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,26.4500,17.4700,0.0000,46.0500,0.0000,0.0000,2.2500,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,0.0000,54.9100,0.0000,12.3300,0.6200,6.3200,2.3100,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.5300,0.0000,0.0000,3.4800,0.0000,0.0000,0.0000,0.0000,32.4900,10.8300,10.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,5.3500,23.6800,23.6800,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
85,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,36.0001,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,76.8900,0.0000,275.4250,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,392.7700,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,26.4500,17.4700,0.0000,46.0500,0.0000,0.0000,2.3600,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,8.7600,54.9100,3.5400,12.3300,0.6200,6.3200,2.3100,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.5700,0.0000,0.0000,3.4800,0.0000,0.0000,0.0000,0.0000,40.7700,13.5900,13.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,8.4400,23.1600,23.1600,3.9400,4.0800,2.3000,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
84,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,76.8900,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,440.2100,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,26.4500,17.4700,0.0000,46.0500,0.0000,0.0000,2.3600,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,20.1700,54.9100,18.3900,12.3300,0.6200,6.3200,1.3200,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.6000,0.0000,0.0000,3.5700,0.0000,0.0000,0.0000,0.0000,40.8300,13.6100,13.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,8.5800,22.7600,22.7600,3.9400,4.0800,2.2800,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
83,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,98.5600,0.0000,270.0000,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,440.2100,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,34.3900,17.4700,0.0000,46.0500,0.0000,0.0000,3.0300,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,30.2500,54.9100,36.8100,12.3300,0.6200,18.9500,1.8200,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.4500,0.0000,0.0000,3.5700,0.0000,0.0000,0.0000,0.0000,40.1900,13.4000,13.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,8.4300,22.9400,22.9400,3.9400,4.0800,2.2800,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
82,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,114.1200,0.0000,285.4250,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,440.2100,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,34.3900,17.4700,0.0000,46.0500,0.0000,0.0000,3.5100,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,30.2500,54.9100,36.8100,12.3300,0.6200,18.9500,2.3100,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,5.4800,0.0000,0.0000,3.5700,0.0000,0.0000,0.0000,0.0000,39.6900,13.2300,13.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,8.4600,23.2100,23.2100,3.9400,4.0800,2.2800,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
81,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,128.1300,0.0000,285.4250,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,440.2100,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,34.3900,17.4700,0.0000,46.0500,0.0000,0.0000,3.9400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,40.3400,54.9100,36.8100,12.3300,0.6200,18.9500,2.3100,0.0000,0.0000,0.0000,0.0000,1.0300,3.4900,6.5800,0.0000,0.0000,3.5700,0.0000,0.0000,0.0000,0.0000,35.9600,11.9900,11.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.1800,8.4200,23.5600,23.5600,3.9400,4.0800,2.2800,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
80,50IS2023/04/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.5000,0.0000,31.7906,0.0000,0.0000,0.0000,0.0000,0.0000,75.4300,643.3900,128.1300,0.0000,283.2375,0.0000,0.0000,115.4200,101.0300,271.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,440.2100,0.0000,0.0000,19.9900,92.4900,118.0700,123.8900,336.5900,127.9900,21.6400,41.7800,26.3800,40.1000,142.2800,0.0000,0.0000,0.0000,0.0000,6.8800,49.1500,34.3900,17.4700,0.0000,46.0500,0.0000,0.0000,3.9400,63.1000,0.0000,0.0000,0.0000,0.0000,46.8500,31.9300,40.6500,44.7800,32.3100,40.3400,54.9100,36.8100,12.3300,0.6200,18.9500,2.3100,0.0000,0.0000,0.0000,0.0000,1.0300,3.5700,7.0800,0.0000,0.0000,3.7100,0.0000,0.0000,0.0000,0.0000,34.6900,11.5600,11.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8700,7.6700,2.8700,1.7800,9.0000,1.7800,0.9800,1.4700,0.0000,0.2100,3.6500,0.2400,1.9400,2.1000,0.0000,3.4400,8.7500,23.7400,23.7400,3.9400,4.0800,2.2800,1.8600,1.8800,2.5700,1.2700,4.0800,3.3900,1.7900,2.8400,1.8600,3.3600,1.7000,0.0000,0.0000,0.0000,0.0000,3.3900,1.2900,0.0000,3.2900,0.0000,1.3100,0.0000,0.0000,1.1000,11.4400,27.0000
