genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
11,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,33.033825,2.9807635,,,13.80754375,,5.1959556,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
12,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,33.033825,2.9807635,,,13.80754375,,5.1959556,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
13,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,11.9723571,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,2.9807635,,,13.80754375,,5.1959556,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
14,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,11.9723571,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,2.9807635,,,13.80754375,,5.1959556,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
15,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,2.9807635,,,13.80754375,,5.1959556,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
16,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,2.9807635,,,13.80754375,,5.1838776,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
17,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,2.9807635,,,13.80754375,,5.1838776,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
18,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,2.9807635,,,13.80754375,,5.1838776,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
19,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,10.1567367,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,4.4735845,,,13.80754375,,5.1259032,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
20,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,10.1567367,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,4.4735845,,,13.80754375,,5.048604,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
21,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,4.4735845,,,13.80754375,,4.9833828,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
22,0,0,0,12.8598327,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,4.4735845,,,13.80754375,,4.89159,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
23,0,0,0,12.8598327,0,0,0,19.7398047,,0,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,4.4735845,,,13.80754375,,4.8408624,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
24,0,0,0,12.8598327,0,0,0,19.7398047,,0,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.7007576,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.708535,42.86023885,,,,,,,5.81009385,12.69714105,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,31.465907,33.033825,4.4735845,,,13.80754375,,4.8408624,,2.3817816,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
