genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,7.112391,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,221.88867855,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.60388015,
2,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,7.112391,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,221.88867855,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.60388015,
3,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,7.112391,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,114.47506455,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0.1299298,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.60388015,
4,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,7.112391,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,116.03796105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.60388015,
5,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,114.47506455,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.33238255,
6,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,114.47506455,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.33238255,
7,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1026316,1.54074745,2.77944205,1.974258,116.03796105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.33238255,
8,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,2.370797,0,0,0,0,0,10.0758867,5.148858,1.54074745,2.77944205,1.974258,116.03796105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.33238255,
9,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,2.370797,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.33238255,
10,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,2.370797,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4678314,6.97554935,4.37097375,0,8.8352264,5.33238255,
11,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,1.0579998,0,,,3.4662056,3.1292184,4.36453875,0,8.8352264,5.33238255,
12,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0.1299298,0,,,3.4662056,3.1292184,4.36453875,0,8.8352264,5.33238255,
13,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,11.8350342,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
14,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
15,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
16,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
17,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
18,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,0,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
19,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,2.2218625,0,0,0,2.4058584,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
20,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,2.4058584,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,8.1957018,5.33238255,
21,0,0,0,7.1864793,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,2.4058584,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4662056,3.1292184,4.36453875,0,2.235805,5.33238255,
22,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,2.4058584,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,211.70617105,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4678314,3.12762835,4.37097375,0,0.9314448,5.33238255,
23,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,2.4058584,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,225.0286797,,,7.6827322,25.024142,,,,0,,0,,7.0794086,7.8900228,,,,,,,0,2.3627604,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,2.6655728,,,23.568215,,0,,0,0,,,3.4678314,3.12762835,4.37097375,0,0.9314448,5.33238255,
