Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
00:00-00:15,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,156.77,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,21.38,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,1.16,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,2.04,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.4,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,100,300,300,200,200,18.7,100,100,100,0,0,2.42,1.96,0.91,3.24000000000001,416
00:15-00:30,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,233.73,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,21.38,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,2.04,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.4,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,100,300,300,200,200,18.7,100,100,100,0,0,2.42,1.49,0.91,3.24000000000001,416
00:30-00:45,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,233.73,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,21.38,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,2.04,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.45,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.7,100,100,100,0,0,2.42,1.02,0.91,3.24000000000001,416
00:45-01:00,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,278.79,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,25.37,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.45,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.7,100,100,100,0,0,2.42,1.02,0.91,3.24000000000001,416
01:00-01:15,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,4.57000000000001,336.46,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,25.37,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.45,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.7,100,100,100,0,0,2.42,0.53,0.91,3.24000000000001,416
01:15-01:30,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,394.12,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,25.37,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.45,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.7,100,100,100,0,0,2.42,0.13,0.91,3.24000000000001,416
01:30-01:45,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,336.91,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,21.38,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.27,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.7,100,100,100,0,0,2.42,0.13,0.91,3.24000000000001,416
01:45-02:00,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,142,0,0,0,0,3.51,336.46,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,25.37,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.890000000000001,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.27,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.7,100,100,100,0,0,2.42,0.13,0.91,3.24000000000001,416
02:00-02:15,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,140,0,0,0,0,3.51,400,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,25.37,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.900000000000002,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.27,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.51,100,100,100,0,0,2.42,0.13,0.91,3.24000000000001,416
02:15-02:30,64DC2025/07/21,0,0,0,0,0,0,0,0,0,0,43,140,0,0,0,0,3.51,400,6.84,0,30,0,0,0,4.05000000000001,0,0,0,0,0,0,0,98.21,0,0,0.73,3.81999999999999,4.88,5.09,13.13,4.73,0.859999999999999,1.76,1.08,1.73,5.14,0,51.96,80.26,79.04,0.34,2.4,0.789999999999999,0.48,0,0.949999999999999,0,0,0.22,2.54000000000001,0.900000000000002,0,0,0,1.85,1.52,1.64,1.84,1.32,1.65,2.15000000000001,1.27,2.8,0.51,0.51,0.13,0,0,955,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,300,300,0.19,0.27,0,0.51,0,0,300,300,200,200,18.51,100,100,100,0,0,2.42,0.13,0.91,3.24000000000001,416
