Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR
96,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,406.9800,106.3600,0.0000,270.0000,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,108.3900,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,2.2900,34.6800,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,3.9600,0.0000,0.0000,57.1900,16.2200,25.7200,0.0000,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,87.4900,29.1700,29.1700,0.0000,0.0000,0.0000,0.0000,0.0000,26.3300,69.0000,69.0000,3.0100,8.2400,0.0000,7.6800,25.7100,29.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,6.7400,0.0000
95,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,406.9800,106.3600,0.0000,270.0000,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,108.3900,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,2.2900,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,3.9600,0.0000,0.0000,57.1900,16.2200,25.7200,0.0000,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,90.4900,30.1700,30.1700,0.0000,0.0000,0.0000,0.0000,0.0000,27.6700,71.0000,71.0000,3.0100,8.2400,0.0000,7.6800,25.7100,29.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,6.7400,0.0000
94,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,381.3900,106.3600,0.0000,270.0000,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,643.9300,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,4.5800,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,3.9600,0.0000,10.5300,57.1900,4.1300,12.8600,0.0000,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,92.5100,30.8300,30.8300,0.0000,0.0000,0.0000,0.0000,0.0000,28.6700,72.6600,72.6700,3.0100,8.2400,0.0000,7.6800,25.7100,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,6.7400,0.0000
93,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,35.4218,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,381.3900,106.3600,0.0000,323.8788,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,643.9300,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,6.8700,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,3.9600,0.0000,10.5300,57.1900,4.1300,12.8600,0.0000,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,93.4900,31.1700,31.1700,0.0000,0.0000,0.0000,0.0000,0.0000,29.6700,74.3400,74.3300,3.0100,8.2400,0.0000,7.6800,25.7100,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,6.7400,0.0000
92,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.4218,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,381.3900,106.3600,0.0000,323.8788,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,624.6900,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,3.9600,0.0000,10.5200,57.1900,4.1300,12.8600,0.0000,12.5500,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.3100,5.3700,0.0000,0.0000,0.0000,94.9900,31.6700,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,30.6700,75.3400,75.3300,3.0100,8.2400,0.0000,7.6800,25.7100,28.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,6.7400,0.0000
91,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,381.3500,106.3600,0.0000,289.0664,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,624.6900,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,10.0200,18.1800,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,3.9600,0.0000,21.0400,57.1900,7.3700,12.8600,0.0000,12.5500,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.3100,5.3700,0.0000,0.0000,0.0000,96.0000,32.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.6700,76.3400,76.3300,3.0100,8.2400,0.0000,7.6800,25.7100,28.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,6.7400,0.0000
90,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,362.1000,106.3600,0.0000,271.8798,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,628.7000,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,1.7200,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,4.8100,7.0000,0.0000,0.0000,3.3100,5.1400,0.0000,0.0000,0.0000,97.0100,32.3300,32.3300,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,82.0000,82.0000,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
89,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,362.1000,106.3600,0.0000,271.8798,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,628.7000,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,1.7200,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,4.8100,7.0000,0.0000,0.0000,3.3100,5.1400,0.0000,0.0000,0.0000,99.0000,33.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.3300,82.6600,82.6700,3.0100,8.2900,0.0000,7.6800,25.7100,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
88,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,264.8787,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,642.3500,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,1.7200,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,4.6600,7.0000,0.0000,0.0000,3.4500,5.2200,0.0000,0.0000,0.0000,100.9900,33.6700,33.6700,0.0000,0.0000,0.0000,0.0000,0.0000,34.3300,83.0000,83.0000,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
87,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,264.8787,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,643.9300,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,1.7200,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,4.6600,7.0000,0.0000,0.0000,3.4500,5.2200,0.0000,0.0000,0.0000,103.0100,34.3300,34.3300,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,84.0000,84.0000,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
86,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,264.8787,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,9.4900,0.0000,21.0400,57.1900,11.0500,12.8600,1.7200,3.1800,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,4.6600,7.0000,0.0000,0.0000,3.4500,5.2200,0.0000,0.0000,0.0000,105.0000,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.6700,84.0000,84.0000,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4200,6.7400,0.0000
85,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,264.8787,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,9.4900,0.0000,21.0400,57.1900,8.8400,12.8600,1.7200,3.1800,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,4.6600,7.0000,0.0000,0.0000,3.4500,5.2200,0.0000,0.0000,0.0000,105.0000,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,84.0000,84.0000,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4200,6.7400,0.0000
84,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,264.8787,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,87.5500,119.8400,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,10.0200,18.1700,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.2900,40.5600,9.4900,0.0000,21.0400,57.1900,8.8400,12.8600,1.7200,3.1800,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.4100,4.9800,0.0000,0.0000,0.0000,105.4900,35.1700,35.1700,0.0000,0.0000,0.0000,0.0000,0.0000,36.3300,84.0000,84.0000,3.0100,8.2900,0.0000,7.6800,25.7100,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4200,6.7400,0.0000
83,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,264.8787,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,102.6200,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,10.0200,18.1800,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,9.4900,0.0000,42.0700,57.1900,11.0500,12.8600,1.7200,3.1800,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.4100,4.9800,0.0000,0.0000,0.0000,108.4900,36.1700,36.1700,0.0000,0.0000,0.0000,0.0000,0.0000,36.6700,85.3400,85.3300,3.0100,8.2900,0.0000,7.6800,25.7100,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4200,6.7400,0.0000
82,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,266.9091,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,102.6200,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,1.7200,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.4100,4.9800,0.0000,0.0000,0.0000,109.0100,36.3300,36.3300,0.0000,0.0000,0.0000,0.0000,0.0000,37.3300,84.6600,84.6700,3.0100,8.2900,0.0000,7.6800,25.7100,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
81,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,266.9091,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,93.5300,118.0200,125.8200,402.9900,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,1.7200,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.2300,7.0000,0.0000,0.0000,3.4100,4.9800,0.0000,0.0000,0.0000,109.0100,36.3300,36.3300,0.0000,0.0000,0.0000,0.0000,0.0000,37.6700,85.3400,85.3300,3.0100,8.2900,0.0000,7.6800,25.7100,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
80,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,266.9091,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,87.5500,102.6200,125.8200,402.9800,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,2.9600,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.0400,7.0000,0.0000,0.0000,3.4100,4.9800,0.0000,0.0000,0.0000,109.0100,36.3300,36.3300,0.0000,0.0000,0.0000,0.0000,0.0000,38.6700,86.6600,86.6700,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
79,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,397.3600,106.3600,0.0000,266.9091,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.7300,87.5500,102.6200,125.8200,402.9800,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,36.3000,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,12.8600,2.9600,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.0400,7.0000,0.0000,0.0000,3.4100,4.9800,0.0000,0.0000,0.0000,109.0100,36.3300,36.3300,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,87.3400,87.3300,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
78,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,362.1000,106.3600,0.0000,266.9091,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.6400,93.5300,108.3900,125.8200,402.9800,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,38.1500,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,14.5400,2.9600,18.8200,2.1900,0.0000,0.0000,0.0000,0.0000,0.9400,5.0400,7.0000,0.0000,0.0000,2.9800,4.9800,0.0000,0.0000,0.0000,97.0100,32.3300,32.3300,0.0000,0.0000,0.0000,0.0000,0.0000,41.0000,85.6600,85.6700,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
77,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,362.1000,106.3600,0.0000,266.9091,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.4400,0.0000,0.0000,15.3300,93.5300,107.4300,125.8200,402.9800,144.6000,20.8200,35.9500,26.6300,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.7400,38.1500,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,76.3900,2.9600,18.8200,2.1800,0.0000,0.0000,0.0000,0.0000,0.9400,5.0400,7.0000,0.0000,0.0000,2.9800,4.9800,0.0000,0.0000,0.0000,100.0100,33.3300,33.3300,0.0200,0.0100,0.0000,0.0000,0.0000,42.3300,86.6600,86.6700,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
76,66IS2025/04/14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.4000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.8100,387.6300,106.3600,0.0000,278.4077,0.0000,0.0000,115.0600,100.2500,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,654.8900,0.0000,0.0000,15.0400,93.5300,108.3900,125.8200,402.9800,144.6000,20.4900,35.4600,26.1000,43.8000,142.2300,0.0000,0.0000,0.0000,0.0000,9.1600,36.5500,11.1300,19.3100,0.0000,23.1000,0.0000,0.0000,4.1400,65.0300,0.0000,0.0000,0.0000,0.0000,46.2200,38.1500,40.5600,46.9100,0.0000,42.0700,57.1900,57.5100,76.3900,1.7200,18.8200,1.2500,0.0000,0.0000,0.0000,0.0000,0.9400,4.2700,7.0000,0.0000,0.0000,3.0800,4.6000,0.0000,0.0000,0.0000,102.4900,34.1700,34.1700,3.4100,0.6800,1.0000,1.0000,0.0000,42.3300,87.6600,87.6700,3.0100,8.2900,0.0000,7.6800,25.7100,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4000,6.7400,0.0000
