Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
00:00-00:15,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,4.49000000000001,127.76,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,173.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.02,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,2.78999999999999,0.11,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,3.34,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:15-00:30,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,173.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,2.78999999999999,0.11,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:30-00:45,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,221.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,2.78999999999999,0.319999999999999,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:45-01:00,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,221.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,2.78999999999999,0.319999999999999,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:00-01:15,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.2501,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,221.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,1.07,0.319999999999999,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:15-01:30,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.2501,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,221.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,1.07,0.319999999999999,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:30-01:45,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.2501,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,269.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,1.07,0.319999999999999,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:45-02:00,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.2501,165,0,0,165,0,4.49000000000001,137.36,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,317.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,1.07,0.319999999999999,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
02:00-02:15,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.2501,165,0,0,165,0,4.49000000000001,146.96,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,317.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,1.07,0.0799999999999998,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
02:15-02:30,62DC2025/03/14,0,0,0,0,0,0,0,0,10.83,0,80.2501,165,0,0,165,0,4.49000000000001,146.96,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,317.99,0,0,0.739999999999998,3.68000000000001,4.76,2.49,15.76,5.59,0.810000000000002,1.69,1.07,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0,0,0.809999999999999,0,0,0,1.03,0,0,0,0,1.46,1.32,0,0,0,0,0.65,0,1.07,0.0799999999999998,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
