timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
1,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,11.5982,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.9465,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,20.3800,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
2,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,7.7321,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.9465,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,20.6000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
3,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,5.7991,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.9465,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,24.2100,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
4,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,3.8661,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.9465,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,24.4300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
5,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,3.8661,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.7869,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,25.8200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
6,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,3.8661,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.7869,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,27.5100,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
7,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,3.8661,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.7869,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,27.8800,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
8,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.1174,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.2413,19.6567,6.0532,0.0000,3.8661,2.4207,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,15.9199,9.7869,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.5100,0.0000,0.0000,6.0532,0.0000,0.0000,21.2800,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
9,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.7900,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.3721,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.5635,19.6567,6.0532,0.0000,3.8661,1.8163,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,15.9199,9.7869,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.3700,0.0000,0.0000,6.0532,0.0000,0.0000,21.4900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
10,70EnNDPL2023/07/14,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,85.1400,0.0000,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,5.3721,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,6.7404,45.2591,0.0000,12.5635,19.6567,6.0532,0.0000,3.8661,1.8163,4.8474,0.0000,3.7396,0.0000,0.0000,0.0000,15.5732,8.5689,0.0000,0.0000,12.1063,14.5638,9.7869,13.0881,0.0000,0.0000,11.2258,10.0753,0.0000,0.0000,3.8135,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0300,10.3200,0.0000,0.0000,200.0000,20.0000,7.3700,0.0000,0.0000,6.0532,0.0000,0.0000,22.1700,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216
