timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
11,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,55.3975,21.7854,9.5833,8.8455,11.5905,17.8623,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6324,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,29.9100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,23.0300,0.0000,300.0000,0.0000,0.0000,0.0000
12,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,55.3975,21.7854,9.5833,8.8455,11.5905,17.8623,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6324,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,29.6000,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,23.0300,0.0000,300.0000,0.0000,0.0000,0.0000
13,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,55.3975,21.7854,9.5833,8.8455,11.5905,17.8623,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.7291,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,29.0700,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
14,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,55.3975,21.7854,9.5833,8.8455,11.5905,18.3937,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.7291,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,28.5500,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
15,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,58.4010,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.7291,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,31.7100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
16,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,59.5698,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.7291,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,31.2100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
17,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,60.7370,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.7291,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,33.0100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
18,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,62.1120,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.7291,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,32.8100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
19,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,62.1120,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,10.7857,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.5797,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,30.0100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
20,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,62.1120,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,10.7857,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.5797,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,29.9100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,120.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,83.3300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
21,68EnBRPL2024/01/10,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,21.2175,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6150,0.0000,0.0000,9.1046,63.7744,25.9392,73.2868,62.1120,21.7854,9.5833,8.8455,11.5905,17.0629,55.2865,0.0000,0.0000,0.0000,0.0000,0.0000,10.7857,6.1487,0.0000,0.0000,14.8830,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.5797,2.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,29.7100,0.0000,0.0000,0.0000,0.0000,13.3736,15.7409,40.9159,109.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,37.8000,78.5100,0.0000,0.0000,0.0000,0.0000,0.0000,4.5892,22.0700,0.0000,300.0000,0.0000,0.0000,0.0000
