genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,0,3.6775431,1.35134175,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,2.3106204,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.45546475,
2,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,0,3.6775431,1.35134175,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,2.3106204,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.45546475,
3,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,0,3.6775431,1.35134175,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,2.3106204,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.28450605,
4,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,0,1.8393375,1.35134175,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0.49761855,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.28450605,
5,0,0,0,5.9783328,0,0,0,9.62790675,,1.821688,0,1.8393375,1.35134175,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.28450605,
6,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,1.8393375,1.35134175,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.28450605,
7,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.28450605,
8,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0,0,0,7.3318102,0,16.4021473,27.48958575,,,0.325501,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.28450605,
9,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0,0,0,7.3318102,0,16.4021473,27.48958575,,,1.866392,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.64047485,
10,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.9507806,0,0,0,7.3318102,0,16.4021473,27.48958575,,,9.901936,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.64047485,
11,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.476025,0,0,0,7.3318102,0,16.4021473,27.48958575,,,9.901936,125.50327515,2.2066,,,27.8004342,,0,,0,0,,,2.9098839,5.9080329,3.68744255,0,4.858766,4.64047485,
12,0,0,0,6.007419,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.476025,0,0,0,7.3318102,0,16.4021473,27.48958575,,,9.901936,125.50327515,1.47145625,,,27.8004342,,0,,0,0,,,2.9098839,5.9211999,3.68744255,0,4.858766,4.64047485,
13,0,0,0,6.0376239,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.476025,0,0,0,7.3318102,0,16.4021473,27.48958575,,,9.901936,125.50327515,1.47145625,,,27.8004342,,0,,0,0,,,2.9098839,5.9211999,3.68744255,0,4.858766,4.64047485,
14,0,0,0,6.0823719,0,0,0,9.62790675,,1.821688,0,0,0,0,0,0,8.3372542,45.14271795,0,2.3011296,2.03962,35.80858655,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0.476025,0,0,0,7.3318102,0,16.4021473,27.48958575,,,9.901936,125.50327515,0.73514375,,,27.8004342,,0,,0,0,,,2.9098839,5.9211999,3.68744255,0,4.858766,4.64047485,
