genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,1.355464,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.4781976,
2,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,1.355464,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.4781976,
3,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,1.540154,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.4781976,
4,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,1.540154,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.4781976,
5,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,1.540154,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.39807745,
6,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,1.540154,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.39807745,
7,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,2.2606507,,0,,1.1488257,4.0294947,,,,,,,2.268651,0.924253,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.39807745,
8,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,1.6948987,,0,,1.1488257,4.0294947,,,,,,,2.268651,0.924253,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.39807745,
9,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,1.6948987,,0,,1.1488257,4.0294947,,,,,,,2.268651,0.924253,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.39807745,
10,0,0,0,2.5206632,0,0,0,3.8927592,,0,0,2.1905928,1.4064545,0,0,0,4.3080807,1.3633686,0.426393,2.3725625,0,2.80564515,,,0,0,,,,1.6948987,,0,,1.1488257,4.0294947,,,,,,,2.268651,0.924253,1.0207109,0,4.0460684,0,1.23530715,1.37038,1.5250114,,,0,0,0.7307685,,,2.5136848,,0,,0,1.343661,,,0.1880516,0.60698,0.30448,0.542179,0,1.39807745,
