Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL
96,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,379.6100,21.0600,0.0000,270.0000,0.0000,0.0000,96.6800,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8100,43.5100,88.9700,119.5600,404.8700,85.5600,4.2400,32.4600,17.0100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,30.0900,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.8500,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,68.5300,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.8500,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,70.5800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
95,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,379.6100,21.0600,0.0000,270.0000,0.0000,0.0000,96.6800,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8100,43.5100,88.9700,119.5600,404.8700,85.5600,4.2400,32.4600,17.0100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,30.0900,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.8500,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,68.5300,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.8500,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,72.5100,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
94,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,379.6100,21.0600,0.0000,270.0000,0.0000,0.0000,96.6800,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8100,43.5100,88.9700,119.5600,404.8700,85.5600,4.2400,32.4600,17.0100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,30.0900,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.8500,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,68.5300,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.8500,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,73.4800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
93,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,391.0000,21.0600,0.0000,270.0000,0.0000,0.0000,96.6800,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8100,43.5100,88.9700,119.5600,404.8700,85.5600,5.3800,32.4600,17.0100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,30.0900,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.8500,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.3600,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.8500,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,76.3800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
92,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,442.8200,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8100,43.5100,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,30.0900,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.8500,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,78.3100,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
91,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,442.8200,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8100,43.5100,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,30.0900,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.8500,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,81.2100,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
90,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,480.2000,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,45.0700,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,82.1800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
89,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,442.8200,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,45.0700,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.0200,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,85.0800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,0.0000,0.0000,0.0000,0.0000
88,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,412.9100,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,45.1300,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,87.9800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
87,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,412.9100,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,9.1000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,89.9100,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
86,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,458.8900,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,8.2100,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,48.0300,9.1000,0.0000,0.0000,0.0000,7.9200,15.9400,0.0000,53.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,91.8500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
85,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,555.5700,21.0600,0.0000,270.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,21.5600,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,48.0300,9.1000,0.0000,0.0000,0.0000,7.9200,15.9400,0.0000,53.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,93.7800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
84,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,21.0600,0.0000,270.2160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,8.5800,3.0700,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,10.6700,9.1000,0.0000,0.0000,0.0000,17.3700,15.9400,0.0000,53.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,96.6800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
83,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,41.2000,0.0000,270.2160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,8.5800,5.1000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,10.6700,9.1000,0.0000,0.0000,0.0000,17.8800,15.9400,0.0000,53.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.6500,1.9200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,100.5500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
82,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,65.0000,0.0000,270.2160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,8.5800,5.1000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,10.6700,9.1000,6.8100,0.0000,0.0000,24.2700,15.9400,0.0000,11.2300,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.4100,0.0000,0.0000,2.7000,1.9200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,103.4500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
81,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.9999,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,91.5600,0.0000,270.2160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,17.1600,5.1000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,6.4000,9.1000,13.5200,3.2200,0.0000,35.3300,31.8500,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1000,7.2100,0.0000,0.0000,2.7000,1.9200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,107.3100,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
80,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,109.8700,0.0000,300.8160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,25.7400,10.2000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,6.4000,9.1000,13.5200,19.3300,0.0000,35.3300,47.8000,0.0000,2.4700,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,111.1800,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
79,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,128.1900,0.0000,300.8160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,42.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,37.7500,15.2800,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,0.2800,0.0000,0.0000,0.0000,6.4000,9.1000,25.2000,38.2000,18.7400,35.3300,47.8000,0.0000,2.4700,4.9500,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,115.0500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
78,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,135.7000,0.0000,300.8160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,37.7500,15.2800,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,48.0300,9.1000,27.1200,38.2000,18.7400,35.3300,47.8000,3.6900,12.9200,5.5700,18.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,135.3500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
77,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.6100,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,135.7000,0.0000,300.8160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,18.8000,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,37.7500,15.2800,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,48.0300,9.1000,27.1200,38.2000,9.3600,35.3300,47.8000,31.6200,12.9200,5.5700,18.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,135.3500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.9700,0.0000,0.0000,0.0000,0.0000
76,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,243.6300,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,135.7000,0.0000,286.8160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,37.7500,15.2800,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,10.6700,9.1000,40.7500,38.2000,9.3600,35.3300,47.8000,31.6200,12.9200,5.5700,18.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.8100,0.1600,0.0000,0.0000,135.3500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,30.9400,0.0000,0.0000,0.0000,0.0000
75,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,243.6300,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,135.7000,0.0000,286.8160,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,37.7500,15.2800,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,10.6700,9.1000,40.7500,38.2000,9.3600,35.3300,47.8000,31.6200,12.9200,5.5700,18.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,3.1300,0.6200,0.0000,0.0000,135.3500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,30.9400,0.0000,0.0000,0.0000,0.0000
74,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,243.6300,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,631.4700,135.7000,0.0000,315.0000,0.0000,0.0000,99.0000,101.2600,271.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,43.5100,88.9700,119.5600,404.8700,85.5600,9.6600,32.4600,25.5100,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,60.1800,37.7500,15.2800,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,10.6700,9.1000,40.7500,38.2000,9.3600,35.3300,47.8000,31.6200,17.9700,5.5700,18.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,7.2100,0.0000,0.0000,2.7500,2.1600,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,6.5700,1.3100,0.0000,0.0000,135.3500,7.0000,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,11.2000,30.9400,0.0000,0.0000,0.0000,0.0000
