genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,7.112391,6.6688182,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,2.363834,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0.87651355,,,21.5159021,,1.1710556,,2.19362,0,,,3.469928,7.128264,0,0,5.5886688,5.58390525,
2,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,7.112391,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,2.363834,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.1659934,,2.19362,0,,,3.469928,7.0775232,0,0,5.5886688,5.58390525,
3,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,2.363834,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.18118,,2.19362,0,,,3.469928,7.046424,0,0,6.3328122,5.58390525,
4,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.046424,0,0,6.3328122,5.58390525,
5,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,290.2746825,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.046424,0,0,6.3328122,3.1767582,
6,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.046424,0,0,6.3328122,3.1767582,
7,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.1511792,0,0,8.4758102,3.1767582,
8,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.1544528,0,0,8.4758102,3.1767582,
9,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,4.63713085,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.1544528,0,0,6.3328122,3.1767582,
10,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,4.63713085,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8483217,19.7413711,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,21.5159021,,1.206491,,2.19362,0,,,3.469928,7.1544528,0,0,6.3328122,3.1767582,
