Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA
96,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224.9800,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.4200,222.5800,0.0000,0.0000,269.9998,0.0000,0.0000,35.1100,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,352.5800,0.0000,0.0000,4.8100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,19.6600,12.9800,14.4300,35.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.9000,0.0000,0.0000,0.0000,4.2600,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,25.6400,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.4800,4.8300,4.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.8000,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8100,8.1600,8.1600,1.1600,0.0000,2.3600,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
95,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224.9800,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.4200,222.5800,0.0000,0.0000,269.9998,0.0000,0.0000,35.1100,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,352.6000,0.0000,0.0000,4.8100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,19.6600,12.9800,14.4300,35.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.8300,0.0000,0.0000,0.0000,4.2600,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,26.0700,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.0600,4.6900,4.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.8000,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8200,8.3100,8.3100,1.1600,0.0000,2.3600,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
94,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224.9800,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.4200,222.5800,0.0000,0.0000,269.9998,0.0000,0.0000,35.1100,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,352.5800,0.0000,0.0000,4.8100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,25.6100,12.9800,14.4300,35.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.7600,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,26.5400,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.1700,4.7200,4.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.8000,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.9700,8.3100,8.3100,1.1600,0.0000,2.3600,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
93,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224.9800,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.4200,222.5800,0.0000,0.0000,269.9998,0.0000,0.0000,35.1100,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,352.6000,0.0000,0.0000,4.8100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,25.6100,12.9800,14.4300,62.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.6300,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,27.0300,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.3900,4.8000,4.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.8000,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8900,8.0900,8.0900,1.1600,0.0000,2.3600,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
92,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.8400,222.5800,0.0000,0.0000,269.9998,0.0000,0.0000,33.0300,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,365.4800,0.0000,0.0000,10.5400,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,25.6100,12.9800,23.5900,62.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.4900,0.0000,0.0000,0.0000,4.2600,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,30.5700,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.0800,4.6900,4.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.8100,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8000,8.3000,8.3000,1.1600,0.0000,2.3400,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
91,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.8400,222.5800,0.0000,0.0000,269.9998,0.0000,0.0000,33.0300,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,386.7300,0.0000,0.0000,10.5400,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,25.6100,12.9800,23.5900,62.7000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4400,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.3900,0.0000,0.0000,0.0000,4.2600,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,30.9600,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.0500,4.6800,4.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8500,0.8200,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,3.0200,8.1800,8.1800,1.1600,0.0000,2.3400,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
90,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,259.1300,0.0000,0.0000,269.9998,0.0000,0.0000,33.0300,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,451.4500,0.0000,0.0000,14.1100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,35.2400,16.4400,31.8200,90.7800,0.0000,0.0000,0.0000,0.0000,0.0000,23.5100,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.2300,0.0000,0.0000,0.0000,10.6200,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,31.4900,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.0700,4.6900,4.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8500,0.8200,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.9300,8.1800,8.1800,1.1600,0.0000,2.3400,1.7500,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
89,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,259.1300,0.0000,0.0000,269.9998,0.0000,0.0000,33.0300,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.2700,0.0000,0.0000,14.1100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,35.2400,16.4400,31.8200,90.7800,0.0000,0.0000,0.0000,0.0000,0.0000,30.8800,8.7200,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.0400,0.0000,0.0000,0.0000,10.6200,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,31.9100,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.1300,4.7100,4.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8500,0.8100,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,3.0500,8.2400,8.2400,1.1600,0.0000,2.3400,1.7400,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
88,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,259.1300,0.0000,0.0000,269.9998,0.0000,0.0000,33.0300,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,594.2100,0.0000,0.0000,14.9100,89.6200,116.0400,121.6400,335.6400,133.9900,6.7200,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,46.3300,17.4300,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,0.0700,0.0000,0.0000,0.0000,10.6200,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,32.3900,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.0500,4.6800,4.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8900,8.2400,8.2400,1.1600,0.0000,2.3400,1.6700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
87,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,355.3100,0.0000,0.0000,269.9998,0.0000,0.0000,33.0300,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,606.2200,0.0000,0.0000,14.9100,89.6200,116.0400,121.6400,335.6400,133.9900,10.1400,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,17.4300,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,2.3200,0.0000,0.0000,0.0000,10.6200,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,32.6600,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.1600,4.7200,4.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8400,8.2000,8.2000,1.1600,0.0000,2.3300,1.6700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
86,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,417.8300,0.0000,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,18.1600,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,17.4300,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,2.1700,0.0000,0.0000,0.0000,10.6200,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,34.6900,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.3500,4.7800,4.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.3800,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8500,8.2100,8.2100,1.1600,0.0000,2.3100,1.6700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
85,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,417.8300,0.0000,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,11.4200,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,17.4300,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,2.0400,0.0000,0.0000,0.0000,10.6200,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.3900,35.0000,0.0000,0.0000,1.7600,1.5300,0.0000,0.0000,0.0000,14.4100,4.8100,4.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.5500,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,3.0100,8.0900,8.0900,1.1600,0.0000,2.3100,1.6700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
84,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,432.2500,0.0000,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,11.4200,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,17.4300,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,1.7900,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.4700,35.3100,0.0000,0.0000,1.8100,1.5300,0.0000,0.0000,0.0000,14.1800,4.7300,4.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.7200,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,3.0600,8.3500,8.3500,1.1600,0.0000,2.3100,1.8700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.7100,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
83,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,432.2500,0.0000,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,11.4200,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,17.4300,0.0000,0.0000,42.3400,0.0000,0.0000,0.0000,51.8600,1.5900,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800,1.7200,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.4700,35.2800,0.0000,0.0000,1.8100,1.5300,0.0000,0.0000,0.0000,14.1600,4.7200,4.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.7200,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.8200,8.3100,8.3100,1.1600,0.0000,2.3100,1.8700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.7100,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
82,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,432.2500,2.7900,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,10.9000,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,26.1500,0.0000,0.0000,42.3400,0.0000,0.0000,0.0100,51.8600,1.4600,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,8.9600,15.1500,0.0000,2.6800,3.7100,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.4700,35.5300,0.0000,0.0000,1.8100,1.5300,0.0000,0.0000,0.0000,14.3800,4.7900,4.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.7200,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.9800,8.2300,8.2300,1.1600,0.0000,2.3100,1.8700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
81,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,432.2500,18.6000,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,10.9000,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.0000,61.7700,26.1500,0.0000,0.0000,42.3400,0.0000,0.0000,0.1000,51.8600,1.3800,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,17.9200,30.3100,0.0000,2.6800,3.7100,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.4700,35.7300,0.0000,0.0000,1.8100,1.5300,0.0000,0.0000,0.0000,14.0600,4.6900,4.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.7200,5.8200,1.6600,0.8200,0.7900,0.8800,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.9200,8.1100,8.1100,1.1600,0.0000,2.3100,1.8700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
80,58IS2022/12/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2600,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7400,432.2500,41.8500,0.0000,270.0001,0.0000,0.0000,57.7500,100.7500,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,660.5300,0.0000,0.0000,10.9000,89.6200,116.0400,121.6400,335.6400,133.9900,14.6700,40.7800,20.0100,31.8200,94.5800,0.0000,0.0000,0.0000,0.0000,0.2200,61.7700,26.1500,0.9300,0.0000,42.3400,0.0000,0.0000,0.2300,51.8600,1.2600,0.0000,0.0000,0.0000,6.3700,4.5200,0.0000,0.0000,0.0000,8.9600,48.6600,0.0000,2.6800,0.0000,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,1.4700,35.9200,0.0000,0.0000,1.8100,1.6800,0.0000,0.0000,0.0000,14.0500,4.6800,4.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,5.1400,2.1300,1.7200,5.8200,1.6600,0.8200,0.7900,0.8700,0.0800,3.6300,0.2500,1.9000,1.0500,1.5700,3.3900,2.7900,8.2000,8.2000,1.1600,0.0000,2.3100,1.8700,1.8800,2.5800,1.2800,2.0500,5.1100,1.8000,2.6800,1.8600,3.3800,1.7000,0.0000,0.0000,0.0000,0.0000,1.7000,1.2900,0.0000,4.1300,0.0000,2.6900,0.0000,0.0000,0.8000,1.7300
