genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
11,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.850751,159.86705625,2.2080443,,,24.6495084,,3.414268,,1.831467,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,4.5101496,
12,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.850751,159.86705625,2.2080443,,,24.6495084,,3.40868,,1.831467,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,4.5101496,
13,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.40868,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
14,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.404489,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
15,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.404489,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
16,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.404489,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
17,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.400298,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
18,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.397504,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
19,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.38074,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
20,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.348609,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,7.314692,3.9471344,
21,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.315081,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
22,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.6495084,,3.266186,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
23,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.3275373,,3.207512,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
24,0,0,0,6.13033575,0,0,0,9.6307772,,1.821688,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.3275373,,3.17119,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
25,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.3275373,,3.15722,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
26,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.3275373,,3.150235,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
27,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.3275373,,3.150235,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
28,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,159.86705625,2.2080443,,,24.3275373,,3.150235,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
