genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
2,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
3,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.8926346,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
4,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.8926346,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
5,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,0.8926346,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
6,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,0.8926346,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
7,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
8,0,0,0,6.90922925,0,0,0,10.8110475,,1.1001848,7.112391,6.6684222,4.9052509,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
9,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,7.112391,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
10,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,7.112391,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
11,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,7.112391,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
12,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,7.112391,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
13,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,7.112391,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
14,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
15,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
16,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
17,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
18,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
19,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,3.6227884,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
20,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,3.4978724,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
21,0,0,0,7.05235575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
22,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
23,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
24,0,0,0,6.99834575,0,0,0,10.8110475,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,3.0491318,236.17260535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.4831191,2.6857754,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,17.5732425,,1.0917478,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
