timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR
1,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,65.1100,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.4372,10.7061,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,0.0000,3.3122,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,73.3300,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,65.1100,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.4372,10.7061,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,0.0000,3.3122,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,73.3300,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,42.3482,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.4372,10.7061,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,0.1956,1.6561,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.8300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,73.3300,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,42.6687,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.4372,10.7061,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,1.6561,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.1700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,73.3300,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,42.3482,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.0285,7.1374,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,3.3122,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,73.0000,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,42.3482,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.0285,7.1374,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,3.3122,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,73.0000,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,42.6687,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1600,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.0285,7.1374,3.3443,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,3.3122,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,72.6700,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,42.6687,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.0338,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.0285,3.5687,0.0000,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,3.3122,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.6700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,71.3300,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,43.4047,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1577,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.0285,3.5687,0.0000,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,1.6561,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,69.6700,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,67EnBYPL2025/04/13,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.6412,24.9085,0.0000,0.0000,24.9085,0.0000,22.9108,43.4047,17.8131,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1577,0.0000,0.0000,2.9718,0.0000,30.1612,50.6395,190.1592,69.2052,5.2173,10.7700,6.5833,11.5646,37.6682,0.0000,10.8697,17.5053,15.1586,0.0000,0.0000,0.0000,4.0120,0.0000,0.0000,0.0000,0.0000,0.0000,12.8807,0.0000,0.0000,0.0000,0.0000,13.2994,8.0285,3.5687,0.0000,0.0000,2.3193,4.1839,3.5558,6.7894,1.5926,1.6561,0.0000,0.0000,0.0000,172.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,68.0000,0.0000,0.0000,0.0000,0.0000,5.9725,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
