timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
1,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,35.6547,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.1365,16.5498,20.0363,0.0000,0.0000,0.0000,4.0125,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,1.5926,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,48.6700,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.2078,0.0000,0.0000,3.6497
2,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,35.6547,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.1365,16.5498,20.0363,0.0000,0.0000,0.0000,2.6771,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,1.5926,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,47.3300,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.2078,0.0000,0.0000,3.6497
3,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,35.6547,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.1365,16.5498,20.0363,0.0000,0.0000,0.0000,1.2632,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,1.5926,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,55.0000,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.2078,0.0000,0.0000,3.6497
4,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,35.6547,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.1365,16.5498,20.0363,0.0000,0.0000,0.0000,1.2632,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,1.5926,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,54.3300,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.2078,0.0000,0.0000,3.6497
5,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,35.6547,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.4029,16.5498,20.0363,0.0000,0.0000,0.0000,1.2632,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,0.1295,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,53.3300,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.7710,0.0000,0.0000,3.6497
6,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,35.6547,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.4029,16.5498,20.0363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,0.1295,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,52.6700,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.7710,0.0000,0.0000,3.6497
7,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,39.2203,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.4029,16.5498,20.0363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,0.1295,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,51.6700,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.7710,0.0000,0.0000,3.6497
8,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,39.2203,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.4029,16.5498,20.0363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,9.0517,21.3970,0.1295,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,51.0000,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.7710,0.0000,0.0000,3.6497
9,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,39.2203,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.5370,16.5498,20.0363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,10.6698,21.3970,0.1295,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.1700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,57.6700,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.7710,0.0000,0.0000,3.6497
10,69EnBYPL2025/05/19,BYPL,0.0000,0.0000,0.0000,0.0000,6.8220,0.0000,0.0000,0.0000,70.6807,0.0000,8.8686,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,64.4550,39.2203,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3061,0.0000,0.0000,4.7650,0.0000,30.1608,50.1811,289.0962,69.2316,5.3665,10.6489,6.7041,11.5646,37.6682,0.0000,10.5370,16.5498,20.0363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9244,0.0000,0.0000,0.0000,0.0000,13.0404,8.1039,10.7061,10.0353,7.3808,2.3214,12.5545,10.6698,21.3970,0.1295,3.3122,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.8300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,57.0000,0.0000,0.0000,0.0000,0.0000,5.8092,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.7710,0.0000,0.0000,3.6497
