Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
00:00-00:15,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.0989,165,0,0,165,0,3.62,81.47,0,0,103.9847,0,0,0,4.17,0,0,0,0,0,0,0,162.5,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,3.59,7.3,3.55,1.82,7.69,0,43.05,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.830000000000002,0,0,0,0,0.65,0,0.51,0.23,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:15-00:30,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,137.36,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,233.73,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,3.59,7.3,4.56,1.82,7.69,0,43.05,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.830000000000002,0,0,0,0,0.65,0,0.51,0.23,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:30-00:45,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,179.01,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.05,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,0.51,0.23,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:45-01:00,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,203.97,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.05,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,0.51,0.23,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:00-01:15,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,219.33,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.05,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,0.51,0.23,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:15-01:30,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,273.09,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.26,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,0.51,0.23,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:30-01:45,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,219.82,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.26,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,0.51,0,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:45-02:00,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,223.02,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.26,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,2.78999999999999,0,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
02:00-02:15,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,245.25,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.26,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,2.78999999999999,0,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
02:15-02:30,63DC2025/03/11,0,0,0,0,0,0,0,0,10.83,0,80.1,165,0,0,165,0,3.62,183.44,0,0,50.0001,0,0,0,4.17,0,0,0,0,0,0,0,257.73,0,0,0.739999999999998,3.68000000000001,4.76,2.49,16.43,5.59,0.810000000000002,1.69,1.07,1.82,7.69,0,43.26,70.04,59.73,0,0,0.35,0.43,0,0.82,0,0,0,1.04,0,0,0,0,0.969999999999999,0.809999999999999,0,0,0,0,0.65,0,2.78999999999999,0,0.26,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
