genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
11,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.363198,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,7.314692,4.5101496,
12,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.363198,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,7.314692,4.5101496,
13,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.037697,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,6.785229,4.0411712,
14,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.037697,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,6.785229,4.0411712,
15,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.037697,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,2.468499,4.0411712,
16,0,0,0,6.101337,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.037697,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,0.926211,4.0411712,
17,0,0,0,6.13033575,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.12012,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,0.926211,4.0411712,
18,0,0,0,6.13033575,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.12012,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,2.468499,4.0411712,
19,0,0,0,6.13033575,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.12012,131.7803828,2.2080443,,,18.7067705,,3.387725,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,6.785229,4.0411712,
20,0,0,0,6.13033575,0,0,0,9.6307772,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.814955,35.8190536,,,6.360541,13.812139,,,,0,,0,,0,21.36849,,,,,,,2.2578941,6.225285,0,0,7.14419475,3.8910278,0,16.5907588,27.8564902,,,11.12012,131.7803828,2.2080443,,,18.7067705,,3.359785,,1.831467,0,,38.8067064,,2.711016,5.8570512,3.6472898,0,6.785229,4.0411712,
