timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
11,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,9.2000,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.5300,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
12,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.4400,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
13,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,8.9200,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.6100,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
14,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,8.7400,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.5300,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
15,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,8.3800,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.4400,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
16,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,8.3600,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.3600,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
17,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,7.4300,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.4500,0.0000,0.0000,0.0000,0.0000,0.0000,8.7612,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
18,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,0.0000,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,7.4400,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.3800,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
19,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,10.3490,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.4700,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
20,66EnBRPL2024/01/26,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,74.9685,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,10.3490,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.3600,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
21,66EnBRPL2024/01/26,BRPL,0.0000,22.6320,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,50.9220,0.0000,0.0000,18.3885,0.0000,39.6158,6.2834,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,49.8053,0.0000,51.2268,26.2314,9.5833,18.6177,11.5905,20.3789,64.7908,0.0000,6.6890,31.2886,14.4409,0.0000,20.6981,6.2873,0.0000,0.0000,14.6612,0.0000,0.0000,0.0000,23.9100,0.0000,6.6890,0.0000,0.0000,0.6808,2.0071,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,241.2420,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,6.6890,0.0000,25.9919,22.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.3400,17.4400,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,23.0700,0.0000,300.0000,0.0000,0.0000,0.0000
