genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
12,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
13,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
14,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
15,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
16,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
17,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
18,0,0,0,2.4137916,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.17185,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
19,0,0,0,2.4448644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,2.9618655,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
20,0,0,0,2.4448644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.090683,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,2.9618655,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.0770342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
21,0,0,0,2.4448644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,2.776774,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
22,0,0,0,2.4448644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,2.776774,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
23,0,0,0,2.4448644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
24,0,0,0,2.4448644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
25,0,0,0,2.351646,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
26,0,0,0,2.351646,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
27,0,0,0,2.351646,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
28,0,0,0,2.351646,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
29,0,0,0,2.3271644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
30,0,0,0,2.3271644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
31,0,0,0,2.3271644,0,0,0,3.5621388,,0,0,2.194632,1.4088635,0,0,0,3.4853148,1.367883,1.707519,2.34425125,0,4.39071325,,,0,0,,,,2.5105245,,0,,1.1388674,6.5960356,,,,,,,5.8427325,3.0855275,1.6595392,0,4.03603585,1.6250113,1.26808605,1.3948,1.5434342,,,0,0,0,,,2.5628416,,0,,0,1.6666111,,0,,0.1897027,0.6222568,0.30789,0.9382054,0,1.4628636,
