genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,5.984748,0,0,0,9.633712,,1.821688,0,1.839849,1.352296,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0,,,28.389207,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
2,0,0,0,5.984748,0,0,0,9.633712,,1.821688,0,1.839849,1.352296,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0,,,28.389207,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
3,0,0,0,5.984748,0,0,0,9.633712,,1.821688,0,1.839849,1.352296,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0,,,28.389207,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
4,0,0,0,5.984748,0,0,0,9.633712,,1.821688,0,1.839849,1.352296,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0,,,28.389207,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
5,0,0,0,5.984748,0,0,0,9.633712,,1.821688,0,1.839849,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
6,0,0,0,6.014085,0,0,0,9.633712,,1.821688,0,1.839849,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0.706882,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
7,0,0,0,6.014085,0,0,0,9.633712,,1.821688,0,1.839849,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0.706882,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
8,0,0,0,6.014085,0,0,0,9.633712,,1.821688,0,1.839849,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0.706882,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
9,0,0,0,6.014085,0,0,0,9.633712,,1.821688,0,1.839849,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0.706882,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
10,0,0,0,6.014085,0,0,0,9.633712,,1.821688,0,0,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,3.734181,180.44270112,0.706882,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
11,0,0,0,6.014085,0,0,0,9.633712,,1.821688,0,0,0,0,0,0,8.344281,90.2871981,0,2.302256,2.54254,30.736340745,,,6.402451,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,7.126097,0,16.590772,27.8586231,,,9.901936,180.44270112,0.706882,,,26.740098,,0,,0,0,,,2.791206,5.921883,3.68808,0,4.935601,4.642231,
