timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
1,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,27.0372,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,31.4422,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,21.3363,14.0105,0.0000,11.5685,4.2515,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
2,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,27.0372,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,20.9615,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,21.3363,14.0105,0.0000,11.5685,4.2515,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,8.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
3,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,27.0372,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,10.4807,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,14.0105,0.0000,11.5685,0.0000,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,8.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
4,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,27.0372,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,14.0105,0.0000,11.5685,0.0000,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
5,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,20.5458,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,14.0105,0.0000,11.5685,0.0000,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
6,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,20.5458,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,14.0105,0.0000,4.0977,0.0000,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
7,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,20.5458,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,5.3187,0.0000,4.0977,0.0000,8.0066,21.7140,0.0000,18.2024,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,7.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
8,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,11.3972,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,4.4315,0.0000,4.0977,0.0000,8.0066,21.7140,0.0000,26.8709,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,14.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,26.8100,0.0000,300.0000
9,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,9.9830,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,5.8194,4.4315,0.0000,4.0977,0.0000,8.0066,21.7140,0.0000,59.2175,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,13.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,27.8200,0.0000,300.0000
10,41EnBRPL2023/10/01,BRPL,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,111.2311,0.0000,17.4426,74.9685,0.0000,0.0000,14.1450,0.0000,32.5008,6.6667,9.9830,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.3379,0.0000,0.0000,9.1046,63.7744,25.4560,73.2868,51.0592,20.3785,8.7796,18.6177,11.5905,14.1291,64.7908,0.0000,17.5241,28.6183,36.5854,0.0000,0.0000,6.1487,0.0000,0.0000,27.9082,0.0000,0.0000,0.0000,22.4036,5.8106,0.0000,0.0000,0.0000,8.7269,4.4315,0.0000,4.0977,0.0000,8.0066,21.7140,0.0000,59.2175,5.7667,0.0000,0.0000,0.0000,0.0000,381.3180,0.0000,0.0000,0.0000,13.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5956,27.8200,0.0000,300.0000
