genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
23,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,6.6642202,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
24,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,6.6642202,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
25,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,6.6642202,0,0,0,0,10.0758867,5.121182,1.54074745,5.5588841,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
26,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,6.6642202,0,0,0,0,10.0758867,5.121182,1.54074745,5.5588841,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
27,0,0,0,7.1864793,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
28,0,0,0,7.1864793,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,317.55688855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.0104856,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
29,0,0,0,7.1864793,0,0,0,11.62765725,,1.1001848,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,317.55688855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
30,0,0,0,7.1864793,0,0,0,11.62765725,,1.1001848,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,317.55688855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
31,0,0,0,7.1864793,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,317.55688855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
32,0,0,0,7.1864793,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,317.55688855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
