timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
1,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,14.9522,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,10.1140,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.4608,32.0319,0.0000,13.7361,0.0000,46.0263,20.8488,17.6534,18.5123,14.7418,10.5638,0.0000,26.9438,0.0000,46.8115,2.6440,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.4900,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,16.0200,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7300,12.5400,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
2,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,14.9522,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,10.1140,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.4608,32.0319,0.0000,13.7361,0.0000,46.0263,20.8488,17.6534,18.5123,14.7418,10.5638,0.0000,26.9438,0.0000,62.4104,2.6440,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5300,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,16.2300,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7800,12.5500,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
3,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,14.9522,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,10.1140,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.4608,32.0319,0.0000,13.7361,0.0000,46.0263,5.8194,17.2287,18.5123,14.7418,10.5638,0.0000,26.9438,0.0000,62.4104,2.6440,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5000,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,16.6900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8400,12.6300,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
4,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,14.9522,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,10.1140,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.4608,32.0319,0.0000,13.7361,0.0000,46.0263,1.9413,17.2287,18.5123,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,2.6440,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5200,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,16.9000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8600,12.7500,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
5,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,1.9413,17.2287,18.5123,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5300,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,17.1100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9400,13.0000,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
6,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,5.8194,17.2287,18.5123,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5600,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,17.6000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,14.2100,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
7,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,34.1041,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,21.3363,17.2287,12.3415,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5300,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,17.8300,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0300,15.2200,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
8,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,24.4711,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,23.2732,17.2287,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5200,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,18.2800,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1000,14.1700,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
9,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,0.0000,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,23.2732,17.2287,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.4900,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,18.5200,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0100,14.1100,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
10,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,0.0000,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,21.3363,17.6534,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5300,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,18.7600,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,13.9600,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
11,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,0.0000,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,21.3363,17.6534,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5000,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,19.1600,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9700,13.8300,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
12,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,0.0000,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,21.3363,17.2287,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5200,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,19.3400,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,13.7300,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
13,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,0.0000,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,21.3363,17.2287,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,62.4104,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5300,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,16.3700,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,13.4800,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
14,54EnBRPL2023/04/29,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1150,0.0000,15.3676,0.0000,0.0000,0.0000,0.0000,0.0000,34.6617,19.1452,0.0000,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,515.3458,0.0000,0.0000,9.1046,63.5986,54.8878,76.6243,50.8930,33.0442,10.0170,19.9702,12.2605,20.3789,64.7908,0.0000,1.7896,36.7252,3.7297,0.0000,0.0000,6.3411,8.5501,0.0000,32.9624,0.0000,0.0000,0.0000,32.0319,0.0000,13.7361,0.0000,46.0263,21.3363,17.2287,6.1400,14.7418,10.5638,0.0000,17.8994,0.0000,55.4800,0.0000,5.7579,1.7454,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,5.5600,0.0000,0.0000,0.0000,0.0000,2.9842,0.0000,0.0000,16.3800,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,13.4400,0.0000,2.9532,4.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2802,5.4236
