timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR
1,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,188.5800,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,3.0523,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,10.1889,12.9316,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,0.0000,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.9200,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,188.5800,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,3.0523,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,10.1889,12.9316,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,0.0000,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.9200,0.0000,0.0000,0.0000,0.0000,0.0000,30.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
3,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,181.1315,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,10.1889,12.9316,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,0.2362,2.0003,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.9200,0.0000,0.0000,0.0000,0.0000,0.0000,30.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
4,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,183.9732,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,10.1889,12.9316,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,2.0003,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.9200,0.0000,0.0000,0.0000,0.0000,0.0000,31.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
5,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,181.1315,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,9.6952,8.6211,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.7600,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
6,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,181.1315,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,9.6952,8.6211,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.7600,0.0000,0.0000,0.0000,0.0000,0.0000,31.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
7,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,183.9732,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,9.6952,8.6211,4.0398,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.7600,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
8,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,183.9732,21.5182,0.0000,65.2500,0.0000,0.0000,115.0900,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3616,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,9.6952,4.3105,0.0000,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.6600,2.7600,0.0000,0.0000,0.0000,0.0000,0.0000,30.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
9,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,384.9203,21.5182,0.0000,65.2500,0.0000,0.0000,66.0400,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3686,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,9.6952,4.3105,0.0000,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,2.0003,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.5700,2.6900,0.0000,0.0000,0.0000,0.0000,0.0000,30.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
10,67EnNDPL2025/04/13,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.2746,29.8840,0.0000,0.0000,29.8840,0.0000,27.6734,384.9203,21.5182,0.0000,65.2500,0.0000,0.0000,66.0400,0.0000,272.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3686,0.0000,0.0000,3.5896,28.2211,36.4250,0.0000,107.0671,42.8513,6.3051,13.0000,7.9472,13.9686,45.4984,0.0000,13.1302,21.1412,18.3198,0.0000,0.0000,2.7201,4.8465,0.0000,12.8717,0.0000,0.0000,0.0000,15.5637,0.0000,0.0000,0.0000,0.0000,16.0640,9.6952,4.3105,0.0000,0.0000,2.8014,5.0535,4.2959,0.0000,1.9236,2.0003,0.0000,0.0000,0.0000,208.8000,0.0000,0.8624,2.7900,0.0000,0.0000,200.0000,2.5700,2.6900,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7030,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
