timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,2.1500,9.9100,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.5800,0.0000,0.0000,8.1600,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,17.9700,11.1700,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,22.4600,10.4300,0.0000,5.5400,0.0000,3.6400,6.5200,0.0000,25.1100,5.5400,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8200,10.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1012.7341,-61.11,0.00,14.1476,0.00,937.4765
2,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.5800,0.0000,0.0000,8.1600,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,17.9700,11.1700,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,22.4600,10.4300,0.0000,5.5400,0.0000,3.6400,6.5200,0.0000,8.3700,5.5400,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9300,18.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,990.7041,-77.77,0.00,13.9303,0.00,899.0038
3,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.5800,0.0000,0.0000,8.2800,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,17.9700,11.1700,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,10.4300,0.0000,5.5400,0.0000,3.6400,6.5200,0.0000,8.3700,5.5400,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,17.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,969.3741,-30.12,0.00,13.4932,0.00,925.7609
4,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,3.7232,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,213.5800,0.0000,0.0000,8.2800,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,17.9700,11.1700,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,10.4300,0.0000,5.5400,0.0000,3.6400,6.5200,0.0000,8.3700,5.5400,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,17.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,959.2054,-35.56,0.00,13.1798,0.00,910.4656
5,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,3.7232,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.6000,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,10.4300,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,5.5400,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8700,16.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,957.2954,-79.52,0.00,13.4450,0.00,864.3304
6,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9700,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.6000,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,10.4300,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,5.5400,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8400,16.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,975.3841,-63.21,0.00,13.3077,0.00,898.8664
7,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.6000,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,4.4500,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6500,15.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,965.7641,-37.34,0.00,13.0635,0.00,915.3606
8,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.6000,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6400,14.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,961.1841,-36.38,0.00,13.0316,0.00,911.7725
9,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.6000,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5700,13.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,958.8641,-52.78,0.00,12.8669,0.00,893.2172
10,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.6000,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5500,12.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,948.4341,-56.65,0.00,12.7410,0.00,879.0431
11,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.7900,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7600,11.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,945.5541,-105.99,0.00,12.8271,0.00,826.7370
12,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,8.7900,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.6200,11.5800,19.6700,21.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.7900,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9100,11.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,945.2341,-86.95,0.00,12.6398,0.00,845.6443
13,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,4.8300,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.5500,11.5800,11.5800,24.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.5400,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,11.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,935.7541,-85.13,0.00,12.6252,0.00,837.9989
14,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,4.8300,61.5500,50.0700,70.7300,49.9600,26.3200,0.0000,18.5500,11.5800,11.5800,24.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.5400,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7500,11.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,934.9541,-73.06,0.00,12.4780,0.00,849.4161
15,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,4.8300,61.5500,50.0700,70.7300,49.9600,26.3300,0.0000,8.1200,5.5000,11.5800,24.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.5400,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,12.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,918.4341,-70.16,0.00,12.3581,0.00,835.9160
16,BRPL,41DSBRPL2022/10/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.9800,0.0000,12.9219,-0.1415,0.0000,0.0000,0.0000,0.0000,38.2400,0.0000,0.0000,0.0000,84.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.5300,0.0000,0.0000,4.8300,61.5500,50.0700,70.7300,49.9600,26.3300,0.0000,8.1200,5.5000,11.5800,24.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3900,0.0000,0.0000,27.1300,0.0000,0.0000,0.0000,21.5400,3.8600,0.0000,0.0000,0.0000,1.4000,2.2800,0.0000,0.0000,0.0000,3.6400,6.5200,0.0000,8.3700,4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7100,13.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,918.5941,-68.23,0.00,12.3765,0.00,837.9876
