genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,3.975862,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,1.9558,0,0,3.598672,0,16.590772,27.8586231,,,0.325501,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
2,0,0,0,3.975862,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,1.9558,0,0,3.598672,0,16.590772,27.8586231,,,0.325501,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
3,0,0,0,3.975862,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,1.9558,0,0,3.598672,0,16.590772,27.8586231,,,0.325501,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
4,0,0,0,3.975862,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,1.9558,0,0,3.598672,0,16.590772,27.8586231,,,0.325501,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
5,0,0,0,3.975862,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,0.498729,0,0,3.598672,0,16.590772,27.8586231,,,2.110867,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
6,0,0,0,4.003802,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,0.498729,0,0,3.598672,0,16.590772,27.8586231,,,9.901936,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
7,0,0,0,4.003802,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,0.498729,0,0,3.598672,0,16.590772,27.8586231,,,9.901936,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
8,0,0,0,4.003802,0,0,0,7.357999,,0.910844,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,0.498729,0,0,3.598672,0,16.590772,27.8586231,,,9.901936,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
9,0,0,0,4.003802,0,0,0,7.357999,,1.821688,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,0.498729,0,0,3.598672,0,16.590772,27.8586231,,,9.901936,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
10,0,0,0,4.003802,0,0,0,7.357999,,1.821688,0,0,0,0,0,0,8.344281,90.2871981,0,0,2.54254,23.874672525,,,6.360541,20.71751,,,,0,,0,,0,0,,,,,,,0,0,0,3.598672,0,16.590772,27.8586231,,,9.901936,177.021801,0,,,38.0767002,,0,,0,0,,,2.912745,5.921883,3.68808,0,4.858766,3.946525,
