Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL
96,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,67.2400,585.0300,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.1300,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,16.6500,33.4300,20.9300,31.6400,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.4300,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,18.6800,35.2700,47.7100,13.5100,33.6400,9.1500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,35.7500,0.0000,0.0000,7.2400,7.8300,0.0000,0.0000,0.0000,30.1500,10.0500,10.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4900,22.4600,1.0000,0.8600,3.7500,0.9900,0.1800,6.2700,0.4800,1.9000,4.2400,1.3700,6.6900,5.2100,20.1100,20.1100
95,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,67.2400,585.0300,135.4300,0.0000,304.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.1300,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,31.6400,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.4300,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,18.6800,35.2700,47.7100,13.5100,33.6400,9.1500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,35.9400,0.0000,0.0000,7.2400,7.8300,0.0000,0.0000,0.0000,30.1800,10.0600,10.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4900,22.4600,1.0000,0.8600,3.7500,0.9900,0.1800,6.8600,0.4800,1.9000,4.2400,1.3700,6.6900,5.0000,20.3900,20.3900
94,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0001,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.0300,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.4300,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,18.6800,35.2700,47.7100,13.5100,33.6400,9.1500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,36.1100,0.0000,0.0000,7.2400,7.8300,0.0000,0.0000,0.0000,30.5100,10.1700,10.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4900,22.4600,1.0000,0.8600,3.7500,0.9900,0.1800,7.1200,0.4800,1.9000,4.2400,1.3700,6.6900,5.1700,20.9800,20.9800
93,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0001,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.0300,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.4300,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,18.6800,35.2700,47.7100,13.5100,33.6400,9.1500,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,31.0200,0.0000,0.0000,7.2400,7.8300,0.0000,0.0000,0.0000,30.5100,10.1700,10.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4800,22.4600,1.0000,0.8600,3.7500,0.9900,0.1800,7.1200,0.4800,1.9000,4.2400,1.3700,6.6900,5.4500,21.6000,21.6000
92,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0001,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.0300,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,13.5100,33.6400,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,31.7800,0.0000,0.0000,7.4200,7.8300,0.0000,0.0000,0.0000,31.8300,10.6100,10.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4800,22.4600,1.0000,0.8600,3.7500,0.9900,0.1800,7.1200,0.4800,1.9000,4.2400,1.3700,6.6900,5.3500,21.7500,21.7500
91,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0001,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.0300,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,13.5100,33.6400,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,32.6900,0.0000,0.0000,7.4200,7.8300,0.0000,0.0000,0.0000,32.1800,10.7300,10.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4800,22.4600,1.0000,0.8800,3.8100,0.9900,0.1800,7.1200,0.4800,1.9000,4.2400,1.3700,6.6900,5.5500,22.5000,22.5000
90,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0001,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.0300,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,13.5100,33.6400,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,42.1000,0.0000,0.0000,7.4200,7.8300,0.0000,0.0000,0.0000,48.0900,16.0300,16.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4800,22.4600,1.0000,0.8800,3.8100,0.9700,0.1800,7.1200,0.4800,1.9000,4.2400,1.3700,6.6900,8.5300,33.5400,33.5400
89,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,37.0001,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.0300,135.4300,0.0000,308.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.2600,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,13.5100,33.6400,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,8.8500,42.0600,0.0000,0.0000,7.4200,7.8300,0.0000,0.0000,0.0000,49.2400,16.4100,16.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7200,15.1200,5.4200,1.4800,22.4600,1.0000,0.8800,3.8100,0.9700,0.1800,7.1200,0.4800,1.9000,4.2400,1.3700,6.6900,8.5400,33.8800,33.8800
88,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,36.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.6700,123.3600,0.0000,315.0000,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4500,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,20.7100,0.0000,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,47.7100,13.5100,33.6400,9.1500,3.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,42.0600,0.0000,0.0000,7.5200,8.0600,0.0000,0.0000,0.0000,50.3000,16.7700,16.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.3700,6.5600,8.7400,34.1800,34.1800
87,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,36.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.6700,123.3600,0.0000,315.0000,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4500,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,20.7100,0.0000,0.0000,0.0000,51.1400,0.0000,41.1700,38.1300,28.0500,35.2700,47.7100,13.5100,33.6400,9.1500,3.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,42.1100,0.0000,0.0000,7.5200,8.0600,0.0000,0.0000,0.0000,51.3500,17.1200,17.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.3700,6.5600,8.9500,34.7600,34.7600
86,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,36.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.6700,123.3600,0.0000,315.0000,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4500,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,51.1400,0.0000,41.1700,38.1300,28.0500,35.2700,47.7100,13.5100,33.6400,9.1500,3.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,42.0900,0.0000,0.0000,7.5200,8.0600,0.0000,0.0000,0.0000,52.3100,17.4400,17.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.3700,6.5600,9.1900,35.4200,35.4200
85,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,36.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,585.6700,123.3600,0.0000,315.0000,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4500,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,14.9100,0.0000,41.1700,38.1300,28.0500,35.2700,47.7100,13.5100,33.6400,9.1500,3.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,42.1800,0.0000,0.0000,7.5200,8.0600,0.0000,0.0000,0.0000,53.2800,17.7600,17.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.3400,6.5600,9.3400,35.8600,35.8600
84,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.9999,-1.5001,0.0000,0.0000,0.0000,0.0000,67.6300,630.3000,135.4300,0.0000,310.0001,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4500,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,14.7400,34.7600,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,42.1700,0.0000,0.0000,7.7000,8.0600,0.0000,0.0000,0.0000,54.1900,18.0600,18.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.3300,6.5600,9.4800,36.2200,36.2200
83,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,67.6300,630.3000,135.4300,0.0000,310.0001,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,134.4500,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,47.1700,34.7600,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,41.7600,0.0000,0.0000,7.7000,8.0600,0.0000,0.0000,0.0000,36.4100,12.1400,12.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.3000,6.5600,6.8000,36.4800,36.4800
82,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,67.6300,630.3000,135.4300,0.0000,310.0001,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,47.1900,56.0700,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,41.1800,0.0000,0.0000,7.8800,8.0600,0.0000,0.0000,0.0000,36.0100,12.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.2800,6.5600,6.7000,22.3000,22.3000
81,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,67.6300,630.3000,135.4300,0.0000,310.0001,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,47.1900,77.3700,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.0000,39.2900,0.0000,0.0000,7.8800,8.0600,0.0000,0.0000,0.0000,35.5800,11.8600,11.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,1.0400,0.1800,6.9400,0.4700,1.8400,4.1100,1.2500,6.5600,6.6500,22.2500,22.2500
80,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,630.3000,135.4300,0.0000,310.0001,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,47.1900,77.3700,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.1600,36.0200,0.0000,0.0000,8.0800,8.2900,0.0000,0.0000,0.0000,35.1500,11.7200,11.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,0.9800,0.1800,6.9400,0.4700,1.8400,4.1100,1.2300,6.5600,3.7700,22.1600,22.1600
79,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,630.3000,135.4300,0.0000,310.0001,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,30.4600,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,47.1900,77.3700,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.1600,34.6300,0.0000,0.0000,8.0800,8.2900,0.0000,0.0000,0.0000,18.7700,6.2600,6.2400,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,0.9500,0.1800,6.9400,0.4700,1.8400,4.1100,1.2200,6.5600,3.7500,15.4800,15.4800
78,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,630.3000,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,29.2800,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,47.1900,77.3700,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.1600,32.1100,0.0000,0.0000,8.0800,8.2900,0.0000,0.0000,0.0000,18.6700,6.2200,6.2200,0.0700,0.0100,0.5300,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,0.9300,0.1800,6.9400,0.4700,1.8400,4.1100,1.2000,6.5600,3.7400,15.4100,15.4100
77,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,630.3000,135.4300,0.0000,285.9600,0.0000,0.0000,57.9600,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,29.2800,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,29.1200,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,2.5600,0.0000,0.0000,10.6500,0.0000,41.1700,38.1300,28.0500,35.2700,50.2700,11.0600,77.3700,9.1500,18.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.1600,25.3300,0.0000,0.0000,8.0800,8.2900,0.0000,0.0000,0.0000,18.1000,6.0300,6.0300,0.1400,0.0300,1.8700,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,0.9300,0.1800,6.9400,0.4700,1.8400,4.1100,1.1700,6.5600,3.6900,15.3000,15.3000
76,61IS2022/09/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.4500,0.0000,35.0000,-1.5001,0.0000,0.0000,0.0000,0.0000,77.2000,630.3000,135.4400,0.0000,285.9600,0.0000,0.0000,113.6500,96.5100,271.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.9900,0.0000,0.0000,13.7500,44.3900,113.9800,119.3400,333.3000,133.5300,21.0600,40.9200,25.4800,29.2800,142.3500,0.0000,0.0000,0.0000,0.0000,0.0000,60.0700,27.5900,15.1900,0.0000,18.4500,0.0000,0.0000,0.0000,48.9700,21.8500,3.5700,0.0000,0.0000,51.1400,0.0000,41.1700,38.1300,28.0500,35.2700,47.7100,6.1400,77.3700,9.1600,12.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,9.1600,19.2800,0.0000,0.0000,8.1600,8.4400,0.0000,0.0000,0.0000,17.7700,5.9200,5.9200,0.2400,0.0500,3.7300,0.0000,0.0000,0.0000,3.6300,14.7500,5.4300,1.5000,23.5200,1.0400,0.8200,3.7300,0.9300,0.1700,6.9400,0.4700,1.8400,4.1100,1.1500,6.5600,3.6800,15.1200,15.1200
