Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
23:45-24:00,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,93.56,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,38.85,65.16,83.30,0.00,60.48,8.87,0.00,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,15.46,13.45,42.15,18.66,0.00,18.23,49.44,0.00,23.24,12.17,0.00,0.00,0.00,0.00,980.00,0.00,0.82,5.29,7.03,0.00,200.00,4.37,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.87,300.00,300.00
23:30-23:45,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,93.56,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,38.85,65.16,83.30,0.00,60.48,8.87,5.20,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,15.46,10.09,42.15,18.66,0.00,18.23,49.44,0.00,23.24,12.17,0.00,0.00,0.00,0.00,980.00,0.00,0.82,5.29,7.02,0.00,200.00,4.37,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.87,300.00,300.00
23:15-23:30,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,93.56,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,38.85,65.16,83.30,0.00,60.48,8.87,5.20,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,15.46,10.09,42.15,26.34,9.68,18.23,49.44,0.00,23.24,12.17,0.00,0.00,0.00,0.00,980.00,0.00,0.82,5.29,6.98,0.00,200.00,4.37,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.87,300.00,300.00
23:00-23:15,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,116.95,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,38.85,65.16,83.30,0.00,60.48,8.87,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,15.46,10.09,42.15,39.51,19.36,18.23,49.44,0.00,23.24,12.17,0.00,0.00,0.00,0.00,980.00,0.00,0.82,5.29,6.99,0.00,200.00,4.37,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.87,300.00,300.00
22:45-23:00,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,140.35,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,37.80,64.07,83.30,0.00,60.48,17.75,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,19.87,14.80,42.15,39.51,29.06,36.54,49.44,0.00,23.24,12.17,19.56,0.00,0.00,0.00,980.00,0.00,0.82,5.29,7.28,0.00,200.00,4.47,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.82,300.00,300.00
22:30-22:45,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,140.35,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,37.80,64.07,83.30,0.00,62.24,17.75,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,19.87,14.80,42.15,39.51,29.06,36.54,49.44,0.00,23.24,12.17,19.56,0.00,0.00,0.00,980.00,0.00,0.82,5.29,7.38,0.00,200.00,4.47,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.82,300.00,300.00
22:15-22:30,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,140.35,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,37.80,64.07,83.30,0.00,62.24,17.75,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,19.87,14.80,28.05,39.51,29.06,36.54,49.44,0.00,23.24,12.17,19.56,0.00,0.00,0.00,980.00,0.00,0.82,5.44,7.41,0.00,200.00,4.47,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.82,300.00,300.00
22:00-22:15,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,140.35,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,37.80,64.07,83.30,0.00,62.24,17.75,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,19.87,14.80,0.00,39.51,29.06,36.54,49.44,0.00,23.24,12.17,19.56,0.00,0.00,0.00,980.00,0.00,0.82,5.44,7.68,0.00,200.00,4.47,4.53,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,27.82,300.00,300.00
21:45-22:00,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,140.35,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,37.80,63.53,83.30,0.00,62.24,17.75,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,19.87,14.80,0.00,39.51,29.06,36.54,49.44,0.00,23.24,12.17,0.00,0.00,0.00,0.00,980.00,0.00,0.82,5.44,7.63,0.00,200.00,4.47,4.69,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,26.77,300.00,300.00
21:30-21:45,41DC2023/10/01,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,246.25,0.00,42.00,265.00,0.00,0.00,50.00,0.00,74.00,462.00,116.95,0.00,320.00,0.00,0.00,115.62,104.74,271.86,0.00,0.00,0.00,0.00,0.00,0.00,686.78,0.00,0.00,20.73,92.00,57.96,123.67,347.63,103.13,19.99,42.39,26.39,32.17,147.52,0.00,37.80,63.53,83.30,0.00,60.48,8.87,10.56,0.00,40.26,0.00,0.00,0.00,51.01,16.17,0.00,0.00,0.00,12.14,14.80,0.00,18.66,9.68,18.23,49.44,0.00,23.24,12.17,0.00,0.00,0.00,0.00,980.00,0.00,0.82,5.44,7.52,0.00,200.00,4.47,4.69,0.00,0.00,0.00,100.00,100.00,100.00,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,76.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,24.50,26.77,300.00,300.00
