timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
11,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,100.0000,4.6726,0.0000,1.5125,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4694,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
12,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,100.0000,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4694,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
13,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4694,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
14,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4694,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
15,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4694,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
16,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8144,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
17,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8144,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
18,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,0.0000,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.8468,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8144,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
19,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,4.4460,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8144,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
20,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,148.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,4.4460,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,0.8468,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3800,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8144,0.0000,0.0000,0.0000,0.0000,200.0000,1.2900
21,64EnNDPL2024/01/24,NDPL,0.0000,39.5240,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,65.9300,0.0000,192.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3090,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,38.3132,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,9.3421,21.8564,26.9002,0.0000,8.8919,2.8747,0.0000,0.0000,6.6177,0.0000,0.0000,0.0000,16.7789,0.0000,0.0000,0.0000,0.0000,8.1302,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.6360,0.8800,0.6900,0.0000,0.0000,200.0000,1.3400,0.9500,4.6726,0.0000,1.5125,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8144,0.0000,0.0000,0.0000,0.0000,200.0000,1.3700
