genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,10.1567367,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,28.44579375,4.4735845,,,9.0965919,,5.13315,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.8002644,9.1276735,
2,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,10.1567367,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,28.44579375,4.4735845,,,9.0965919,,5.13315,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.8002644,9.1276735,
3,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,28.9050047,4.4735845,,,9.0965919,,5.13315,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.8002644,7.60314225,
4,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,28.9050047,4.4735845,,,9.0965919,,5.13315,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
5,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,27.5281875,4.4735845,,,9.0965919,,5.13315,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
6,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,27.5281875,4.4735845,,,9.0965919,,5.13315,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
7,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,27.5281875,4.4735845,,,9.0965919,,5.1838776,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
8,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,241.0122165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,27.5281875,4.4735845,,,9.0965919,,5.1838776,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,7.60314225,
9,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,27.5281875,4.4735845,,,9.0965919,,5.1838776,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
10,0,0,0,12.7057788,0,0,0,19.7398047,,4.7249136,10.181754,11.5118872,8.2825479,0,0,0,26.9766783,281.9047165,10.3593908,14.0598744,4.5678996,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.7555105,42.86023885,,,,,,,2.65381875,9.07078095,1.475331,0,16.010731,5.99089755,36.7121964,30.3704588,42.205713,,,32.417803,27.5281875,4.4735845,,,9.0965919,,5.1838776,,2.6619912,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,11.7325692,9.1276735,
