genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,2.22134,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,1.4718759,,,37.2115788,,1.458468,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.863461,4.62426525,
2,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,2.22134,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0.73593795,,,37.2115788,,1.458468,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.863461,4.62426525,
3,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,0.49841,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0.73593795,,,37.2115788,,1.458468,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.169152,4.62426525,
4,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,0.49841,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0.73593795,,,37.2115788,,1.465453,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.169152,4.62426525,
5,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,0.49841,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0.73593795,,,37.2115788,,1.462659,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.169152,4.62426525,
6,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,2.22134,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0.73593795,,,37.2115788,,1.462659,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.169152,4.62426525,
7,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,2.22134,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0,,,37.2115788,,1.471041,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.863461,4.62426525,
8,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,4.05812,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,2.22134,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0,,,37.2115788,,1.471041,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.863461,4.62426525,
9,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,5.5184349,2.703305,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,1.95569,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0,,,37.2115788,,1.482217,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.863461,4.62426525,
10,0,0,0,5.96932325,0,0,0,9.7243245,,0.910844,5.888355,3.6789566,2.703305,0,0,0,12.0932317,90.29710305,5.128376,6.8103519,1.99771,22.41815675,,,4.706493,13.812139,,,,0,,0,,0,21.3679125,,,,,,,1.95569,0,0,7.1950758,0,16.5878559,27.854442,,,11.688699,159.86705625,0,,,37.2115788,,1.482217,,1.807718,0,,,2.8716248,5.92117515,3.68813225,0,6.169152,4.62426525,
