Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
23:45-24:00,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,35.15,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,0.00,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.17,7.14,0.00,200.00,1.44,1.45,14.24,50.24,5.72,43.62,14.54,14.53,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.77,3.04,1.84,9.34,1.90,1.33,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,8.44,40.14,40.14,0.99,0.50,2.35,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
23:30-23:45,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,35.15,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,3.96,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.17,7.12,0.00,200.00,1.44,1.45,14.24,50.24,5.72,45.32,15.11,15.10,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.77,3.04,1.84,9.34,1.90,1.33,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,8.77,39.94,39.94,0.99,0.50,2.35,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
23:15-23:30,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,35.15,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,17.14,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.17,7.11,0.00,200.00,1.44,1.45,14.24,50.24,5.72,46.81,15.60,15.61,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.77,3.04,1.84,9.34,1.90,1.33,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.11,40.23,40.23,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
23:00-23:15,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,35.15,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,17.14,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.17,7.10,0.00,200.00,1.44,1.45,14.24,50.24,5.72,48.04,16.01,16.03,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.77,3.04,1.84,9.34,1.90,1.33,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.87,32.17,32.17,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
22:45-23:00,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,35.15,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,17.14,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.24,7.10,0.00,200.00,1.48,1.45,14.24,50.24,5.72,43.49,14.49,14.50,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.77,3.04,1.84,9.34,1.90,1.33,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,10.42,33.18,33.18,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
22:30-22:45,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,35.15,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,17.14,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.24,7.04,0.00,200.00,1.48,1.45,14.24,50.24,5.72,44.86,14.95,14.95,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.77,3.04,1.84,9.34,1.90,1.36,1.34,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.28,22.91,22.91,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
22:15-22:30,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,0.00,0.00,0.00,17.01,17.14,12.78,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.24,7.06,0.00,200.00,1.48,1.45,14.24,50.24,5.72,46.03,15.34,15.36,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.36,1.43,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.62,23.87,23.87,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
22:00-22:15,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,13.71,0.00,0.00,17.01,17.14,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.24,7.16,0.00,200.00,1.48,1.45,14.24,50.24,5.72,46.95,15.65,15.65,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.36,1.43,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.97,24.67,24.67,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
21:45-22:00,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,13.71,0.00,0.00,17.01,3.96,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.32,7.18,0.00,200.00,1.48,1.45,14.24,50.24,5.72,48.15,16.05,16.05,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.09,3.04,1.84,9.34,1.90,1.33,1.41,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,10.54,25.25,25.25,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
21:30-21:45,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,13.71,0.00,0.00,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.32,7.18,0.00,200.00,1.48,1.45,14.24,50.24,5.72,49.38,16.46,16.47,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.09,3.04,1.84,9.34,1.90,1.33,1.41,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,10.78,25.75,25.75,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
21:15-21:30,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,13.71,0.00,0.00,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.32,7.11,0.00,200.00,1.48,1.45,14.24,50.24,5.72,35.60,11.87,11.86,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.33,1.41,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,11.02,26.77,26.77,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
21:00-21:15,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,176.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,105.35,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,30.27,0.00,13.71,10.02,0.00,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.32,7.04,0.00,200.00,1.48,1.45,14.24,50.24,5.72,37.82,12.61,12.61,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.33,1.41,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,7.99,27.75,27.75,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,1.36,27.50
20:45-21:00,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,103.36,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,32.82,0.00,13.71,10.02,0.00,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.40,7.20,0.00,200.00,1.53,1.53,14.24,50.24,5.72,40.27,13.42,13.43,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.33,1.41,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,8.44,20.11,20.11,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.06,27.50
20:30-20:45,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,0.00,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,101.08,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.00,26.82,0.00,25.20,0.00,80.60,47.47,32.82,0.00,27.42,10.02,0.00,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.40,7.18,0.00,200.00,1.53,1.53,14.24,50.24,5.72,44.22,14.74,14.75,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.33,1.41,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.09,21.77,21.77,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.18,27.50
20:15-20:30,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,19.54,220.00,0.00,0.00,0.00,57.84,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.00,0.00,6.30,16.35,0.00,43.49,0.00,0.00,0.16,26.82,0.00,25.20,0.00,80.60,47.47,32.82,0.00,27.42,19.79,0.00,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.40,7.13,0.00,200.00,1.53,1.53,14.24,50.24,5.72,48.33,16.11,16.10,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,9.88,23.44,23.44,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.27,27.50
20:00-20:15,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,39.09,220.00,0.00,0.00,0.00,57.84,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.32,0.00,8.33,16.35,0.00,43.49,0.00,0.00,0.31,26.82,0.00,25.20,0.00,80.60,47.47,32.82,0.00,27.42,20.05,9.02,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.40,7.22,0.00,200.00,1.53,1.53,14.24,50.24,5.72,52.83,17.61,17.60,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,10.42,25.11,25.11,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.39,27.50
19:45-20:00,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,68.40,220.00,0.00,0.00,0.00,57.84,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,0.84,13.07,8.33,16.35,0.00,43.49,0.00,0.00,0.55,26.82,0.00,25.20,0.00,80.03,47.47,32.82,0.00,27.42,20.05,18.86,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.40,7.61,0.00,200.00,1.53,1.53,14.24,50.24,5.72,55.49,18.50,18.49,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,11.09,27.11,27.11,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.50,27.50
19:30-19:45,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,88.34,220.00,0.00,0.00,0.00,57.84,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,1.26,26.14,16.66,16.35,0.00,43.49,0.00,0.00,0.70,26.82,0.00,25.20,0.00,80.03,47.47,32.82,14.05,41.13,20.05,28.29,17.01,0.00,24.40,1.54,6.55,0.56,0.00,0.00,0.00,440.00,0.84,1.40,8.17,0.00,200.00,1.53,1.53,14.24,50.24,5.72,57.83,19.28,19.26,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.90,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,11.75,28.77,28.77,0.99,0.50,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.60,27.50
19:15-19:30,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,120.69,220.00,0.00,0.00,0.00,57.84,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,1.67,39.21,33.53,16.35,0.00,43.49,0.00,0.00,0.96,26.82,0.00,25.20,0.00,80.03,47.47,26.90,14.05,41.13,30.10,28.29,34.13,0.00,24.40,1.67,19.66,0.56,0.00,0.00,0.00,440.00,0.84,1.32,8.71,0.00,200.00,1.53,1.53,14.24,50.24,5.72,60.33,20.11,20.10,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.88,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,12.42,30.44,30.44,0.99,0.99,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.72,27.50
19:00-19:15,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,144.82,220.00,0.00,0.00,0.00,57.84,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,1.67,39.21,33.53,16.35,0.00,43.49,0.00,0.00,1.13,26.82,0.00,25.20,0.00,80.03,47.47,26.90,28.10,41.13,30.10,28.29,34.13,0.00,24.40,1.67,19.66,0.56,0.00,0.00,0.00,440.00,0.84,1.32,9.12,0.00,200.00,1.53,1.53,14.24,50.24,5.72,62.83,20.94,20.94,300.00,300.00,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.88,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,13.44,31.75,31.75,0.99,0.99,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.72,27.50
18:45-19:00,36DC2023/03/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,0.00,150.00,0.00,0.00,170.00,0.00,90.20,656.42,144.82,220.00,0.00,0.00,0.00,33.08,104.75,270.93,0.00,0.00,0.00,0.00,0.00,0.00,687.79,0.00,0.00,11.66,92.91,119.14,124.79,348.98,98.80,21.97,42.85,26.62,34.80,147.52,0.00,5.48,22.63,5.72,1.67,39.21,33.53,16.35,0.00,43.49,0.00,0.00,1.13,26.82,0.00,25.20,0.00,80.03,47.47,26.90,28.10,41.13,30.10,28.29,34.13,0.00,24.40,2.05,19.66,0.56,0.00,0.00,0.00,440.00,0.84,1.32,9.50,0.00,200.00,1.53,1.53,14.24,50.24,5.72,22.07,7.36,7.34,0.98,0.20,100.00,200.00,200.00,200.00,1.95,7.86,3.04,1.84,9.34,1.88,1.42,1.32,0.00,0.23,3.78,0.25,2.01,2.19,1.64,3.57,5.17,14.42,14.42,0.99,0.99,2.33,1.94,0.98,2.68,1.33,4.26,5.31,1.87,2.97,1.94,3.51,3.54,0.00,0.02,0.02,0.00,3.54,1.34,0.00,4.29,0.00,1.37,0.00,0.00,0.85,2.72,27.50
