timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
1,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,67.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,3.0353,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.9061,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,0.2362,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.9900,0.0000,0.0000,0.0000,0.0000,0.0000,28.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
2,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,67.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,2.9751,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.9061,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.9900,0.0000,0.0000,0.0000,0.0000,0.0000,29.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
3,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,67.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,2.9197,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.9061,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.9900,0.0000,0.0000,0.0000,0.0000,0.0000,29.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
4,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,67.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.9061,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.9900,0.0000,0.0000,0.0000,0.0000,0.0000,29.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
5,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,67.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.0788,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.8300,0.0000,0.0000,0.0000,0.0000,0.0000,28.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
6,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,70.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.0788,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.8300,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
7,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,70.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.0788,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.8300,0.0000,0.0000,0.0000,0.0000,0.0000,27.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
8,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.3056,0.0000,0.0000,28.9200,0.0000,27.6734,67.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.0788,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.8300,0.0000,0.0000,0.0000,0.0000,0.0000,26.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,3.0085,0.0000,0.0000,7.0650
9,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.6912,0.0000,0.0000,28.9200,0.0000,27.6734,70.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.0788,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,1.9236,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.8300,0.0000,0.0000,0.0000,0.0000,0.0000,26.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,2.5598,0.0000,0.0000,7.0650
10,69EnNDPL2025/04/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,29.6912,0.0000,0.0000,28.9200,0.0000,27.6734,70.8800,28.7078,0.0000,65.2500,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,5.5838,28.2259,36.4397,0.0000,105.9626,40.9488,6.3060,13.0000,7.9474,13.9686,45.4984,0.0000,13.1441,21.1563,27.5829,0.0000,0.0000,2.7233,4.8479,0.0000,6.3239,0.0000,0.0000,0.0000,15.7688,0.0000,0.0000,0.0000,0.0000,15.2418,9.0788,12.9316,12.1244,8.9186,2.8043,15.1666,5.0003,0.0000,0.2362,6.0010,0.0000,0.0000,0.0000,208.8000,0.0000,0.8796,4.5000,0.0000,0.0000,200.0000,20.0000,5.8300,0.0000,0.0000,0.0000,0.0000,0.0000,25.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2216,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,2.5598,0.0000,0.0000,7.0650
