genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,3.00434805,,,,,,,0,0.17153565,0.7708371,0,2.0660563,1.2239821,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
2,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.17153565,0.4148848,0,2.0660563,1.2239821,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
3,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.17153565,0.4148848,0,2.0660563,1.2239821,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
4,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.17153565,0.4148848,0,2.0660563,1.2239821,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
5,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.6741471,0.4148848,0,2.0660563,0.5854156,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
6,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.6741471,0.4148848,0,2.0660563,0.5854156,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
7,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.6741471,0.4148848,0,2.0660563,0.5854156,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
8,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,1.6216013,,,,,,,0,0.6741471,0.4148848,0,2.0660563,0.5854156,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
9,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0.42381075,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,2.0028987,,,,,,,0,0.17153565,0.5138914,0,2.0660563,0.5854156,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
10,0,0,0,2.5071376,0,0,0,3.87275625,,0,0,2.1794091,0.9316505,0,0,0,3.4609014,1.3639626,0.42381075,1.5733102,0,3.00094795,,,0,0,,,,0,,0,,2.2945923,2.0028987,,,,,,,0,0.17153565,0.5138914,0,2.0660563,0.5854156,1.36298085,1.51735375,,,0,0,0.72688,,,2.4956525,,0,,0,0.6317564,,,0.18677505,0.27536795,0.3013263,0.5374644,0,1.5126771,
