genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,5.024448,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,10.1567367,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,3.707946,,3.1547736,1.4830959,,28.261728,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,5.7029665,
2,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,5.024448,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,10.1567367,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,3.707946,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,5.7029665,
3,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,5.024448,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,10.1567367,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,3.707946,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,5.7029665,
4,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,5.024448,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,10.1567367,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,3.707946,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,6.3989244,5.7029665,
5,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,3.454308,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,11.9723571,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,3.707946,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,6.3989244,9.50575725,
6,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,3.454308,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,11.9723571,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,3.707946,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,6.3989244,9.50575725,
7,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,3.454308,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,11.9723571,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,4.7007576,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,6.3989244,9.50575725,
8,0,0,0,12.519936,0,0,0,19.4856651,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,3.454308,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,11.9723571,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,4.7007576,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,7.4666196,9.50575725,
9,0,0,0,12.519936,0,0,0,19.5492,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,3.454308,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,10.1567367,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,4.7007576,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,5.7029665,
10,0,0,0,12.519936,0,0,0,19.5492,,3.1499424,10.181754,11.5118872,8.2825479,0,0,0,20.2318688,224.6552165,10.3593908,14.0598744,3.454308,9.13798875,,,10.9982268,23.8830372,,,,2.2311146,,0,,8.845848,42.86023885,,,,,,,0,10.1567367,1.475331,0,16.089227,6.106628,36.7121964,30.3704588,42.205713,,,34.563672,28.2165961,2.9807635,,,18.29393335,,4.7007576,,3.1547736,1.4830959,,0,,5.244063,10.91475,6.7131636,0.8334326,12.6480816,5.7029665,
