Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
1,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,510.4800,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,528.0000,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.4900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,21.9000,0.0000,0.0000,0.0000,50.3200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,40.0200,0.0000,0.0000,6.3300,10.7300,0.0000,0.0000,0.0000,34.5000,11.5000,11.5000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,1.4100,22.4800,79.9400,0.0000
2,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,433.5200,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,528.0000,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,21.9000,0.0000,0.0000,0.0000,50.3200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,40.0200,0.0000,0.0000,6.3300,10.7300,0.0000,0.0000,0.0000,34.5000,11.5000,11.5000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,1.8800,22.4800,79.9400,0.0000
3,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,433.5200,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,528.0000,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.0400,0.0000,0.0000,0.0000,50.3200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,35.7200,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,40.0200,0.0000,0.0000,6.3300,10.7300,0.0000,0.0000,0.0000,34.5000,11.5000,11.5000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,2.3500,22.4800,79.9400,0.0000
4,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,388.4600,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,524.0100,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.0400,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,35.7200,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,40.0200,0.0000,0.0000,6.3300,10.7300,0.0000,0.0000,0.0000,34.5000,11.5000,11.5000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,2.3500,22.4800,79.9400,0.0000
5,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,85.6300,330.7900,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,524.0100,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.0400,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,35.7200,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,42.0200,0.0000,0.0000,6.0500,10.7300,0.0000,0.0000,0.0000,34.0100,11.3300,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,2.8400,22.4800,79.9400,0.0000
6,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,273.1300,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,524.0100,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.0400,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,35.7200,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,42.0200,0.0000,0.0000,6.0500,10.7300,0.0000,0.0000,0.0000,34.0100,11.3300,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
7,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,330.3400,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,528.0000,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.0400,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,43.0200,0.0000,0.0000,6.0500,10.7300,0.0000,0.0000,0.0000,34.0100,11.3300,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,9.6700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
8,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,330.7900,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,524.0100,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.0400,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,43.0200,0.0000,0.0000,6.0500,10.7300,0.0000,0.0000,0.0000,33.0000,11.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
9,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,524.0100,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.2700,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.7800,10.7300,0.0000,0.0000,0.0000,30.4900,10.1700,10.1700,0.0000,0.0000,0.0000,0.0000,0.0000,11.2600,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
10,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,451.1700,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7400,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.2700,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.7800,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,11.0300,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
11,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,424.2600,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.2700,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,21.4300,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.7800,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,10.8100,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,27.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
12,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,356.9700,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.2700,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,21.4300,69.2500,12.5500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.7800,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,10.5700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,27.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4300,3.2400,22.4800,79.9400,0.0000
13,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,427.1700,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.2700,0.0000,0.0000,0.0000,45.6200,35.5400,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.5000,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,12.6700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,79.9400,0.0000
14,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,432.4900,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.1700,0.0000,0.0000,0.0000,45.6200,35.5400,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.5000,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,11.6700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,79.9400,0.0000
15,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,479.0700,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.1700,0.0000,0.0000,0.0000,45.6200,35.2100,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.5000,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,11.6700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,79.9400,0.0000
16,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,86.6900,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,479.0700,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,20.7900,43.2400,26.6100,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,22.1700,0.0000,0.0000,0.0000,45.6200,35.2100,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6700,10.4700,44.0200,0.0000,0.0000,5.5000,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,79.9400,0.0000
17,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,72.5200,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,70.0800,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,493.4900,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,18.4800,37.4800,22.6800,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,21.8700,0.0000,0.0000,0.0000,45.6200,35.2100,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6500,10.4700,44.0200,0.0000,0.0000,5.3100,10.7300,0.0000,0.0000,0.0000,27.0000,9.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,0.0000,0.0000
18,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,72.3500,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,70.0800,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,493.4900,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,18.4800,37.4800,22.6800,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,21.7900,0.0000,0.0000,0.0000,45.6200,35.2100,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6500,10.4700,44.0200,0.0000,0.0000,5.3100,10.7300,0.0000,0.0000,0.0000,26.5100,8.8300,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,9.3300,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,27.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,0.0000,0.0000
19,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,150.0000,0.0000,0.0000,0.0000,0.0000,71.8100,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,70.0800,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,531.1000,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,18.4800,37.4800,22.6800,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,21.8100,0.0000,0.0000,0.0000,45.6200,35.2100,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6500,10.4700,44.0200,0.0000,0.0000,5.3100,10.7300,0.0000,0.0000,0.0000,25.9900,8.6700,8.6700,0.0000,0.0000,0.0000,0.0000,0.0000,8.6700,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,27.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,0.0000,0.0000
20,63IS2025/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,149.9999,0.0000,0.0000,0.0000,0.0000,71.4100,267.2500,168.9500,0.0000,270.0000,0.0000,0.0000,70.0800,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,531.1000,0.0000,0.0000,18.0300,94.5000,120.3900,125.7500,324.3700,107.0700,18.4800,37.4800,22.6800,42.8900,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,59.5900,19.5000,11.7500,0.0000,23.5300,0.0000,0.0000,5.4800,63.0500,21.7000,0.0000,0.0000,0.0000,45.6200,35.2100,40.5100,45.2800,32.6200,40.8100,53.2300,31.4400,64.7700,11.4500,12.5300,3.0900,0.0000,0.0000,0.0000,0.0000,0.6500,10.4700,44.0200,0.0000,0.0000,5.3100,10.7300,0.0000,0.0000,0.0000,25.0100,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,0.0000,8.3300,0.0000,0.0000,2.5300,6.7800,0.0000,12.6400,24.4000,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,22.4800,0.0000,0.0000
