timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
1,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,3.5896,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,5.7770,0.0000,0.0000,0.0000,0.0000,5.0561,0.0000,0.0000,1.1812,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,12.3395,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
2,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,3.5896,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,5.7770,0.0000,0.0000,0.0000,0.0000,5.0561,0.0000,0.0000,1.1812,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,12.3395,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
3,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,5.7770,0.0000,0.0000,0.0000,0.0000,5.0561,0.0000,0.0000,1.1812,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,12.3395,0.0000,0.0000,22.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
4,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,5.7770,0.0000,0.0000,0.0000,0.0000,5.0561,0.0000,0.0000,1.1812,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,12.3395,0.0000,0.0000,22.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
5,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,5.7770,0.0000,0.0000,0.0000,0.0000,5.0561,0.0000,0.0000,1.1812,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,13.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
6,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,5.7770,0.0000,0.0000,0.0000,0.0000,5.0561,0.0000,0.0000,1.1812,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,13.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
7,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,1.3622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5556,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,14.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
8,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,1.3622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5556,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,14.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,200.0000
9,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,1.3622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5556,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,200.0000
10,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,1.3622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9818,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,200.0000
11,77EnNDPL2024/12/22,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,38.9738,0.0000,12.4614,28.9200,0.0000,0.0000,34.7040,0.0000,27.6734,579.5224,0.0000,0.0000,69.6064,0.0000,0.0000,70.1300,0.0000,134.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3590,0.0000,0.0000,2.7919,28.2256,36.4356,0.0000,25.3687,38.6476,6.3078,13.0083,8.0965,13.8735,30.3333,0.0000,0.0000,0.0000,2.1844,0.0000,0.0000,2.7213,0.0000,0.0000,13.3028,0.0000,0.0000,0.0000,16.3524,0.0000,0.0000,0.0000,7.2650,0.4080,1.3622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6289,0.0000,0.0000,0.0000,0.0000,221.8704,0.0000,0.0000,0.6900,0.0000,0.0000,200.0000,1.6200,1.1400,9.1825,21.6570,19.0646,0.0000,0.0000,18.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3119,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,200.0000
