Block,Time,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,DULHASTI,SINGRAULI_HYDRO,KOLDAM,NJPC,RAPPC,TEHRI,DHAULIGNGA,TANDA2,RIHAND3,SINGRAULI,KISHANGANGA,NAPP,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,KGSU1AND2,NTPL,MAPS,KGSU3AND4,KKNP,KKNPPU2,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,SASAN
1,00:00-00:15,688.415947,23.197435,48.499828,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,2.318701,22.286372,34.415138,44.621534,0,5.534073,130.580717,146.566384,5.560434,51.607373,28.09872,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20.000008,418.77

2,00:15-00:30,688.415947,23.197435,48.499828,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,44.621534,0,5.534073,130.580717,146.566384,5.560434,51.607373,28.09872,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,418.77

3,00:30-00:45,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,44.621534,0,5.534073,130.580717,146.566384,5.560434,51.607373,28.09872,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,418.77

4,00:45-01:00,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,44.621534,0,5.534073,130.580717,146.566384,5.560434,51.607373,28.09872,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,50.833418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20.000004,418.77

5,01:00-01:15,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,33.46615,0,5.534073,130.580717,146.566384,5.560434,51.607373,26.07,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,50.833418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,418.77

6,01:15-01:30,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,22.310767,0,5.534073,130.580717,146.566384,5.560434,51.607373,26.07,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,50.833418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,418.77

7,01:30-01:45,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,22.310767,0,5.534073,130.580717,146.566384,5.560434,51.607373,26.07,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,50.833418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,405

8,01:45-02:00,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,22.310767,0,5.534073,130.580717,146.566384,5.560434,51.607373,26.07,13.0416,34.776,0.1281,40.089,0,0,80.112914,0,0,0,81.591624,0,0,0,50.833418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,405

9,02:00-02:15,688.415947,23.197435,32.333219,22.630299,0,37.890519,27.638981,44.906625,18.800617,674.817829,124.384996,20.750636,0,0.86244,97.055943,39.450269,0.779669,0,22.286372,34.415138,22.310767,0,5.534073,130.580717,146.566384,5.560434,51.607373,26.07,13.0416,34.776,0.1281,79.37622,0,0,80.112914,0,0,0,81.591624,0,0,0,50.833418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.815,148.302375,46.39908,0,20,405

