Block,Time,DADRT2,KOTESHWR,DULHASTI,KOLDAM,PARBATI3,CHAMERA3,DHAULIGNGA,RAMPUR,NJPC,CHAMERA2,KISHANGANGA,RAPPC,NAPP,JHAJJAR,UNCHAHAR1,SINGRAULI_HYDRO,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,RIHAND1,SEWA2,URI2,UNCHAHAR2,RAPPB,BSIUL,CHAMERA1,URI,TANAKPUR,SALAL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,686.779957,17.748,49.436556,0,0,29.062808,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,42.14808,48.576,0,85.988,0,83.296,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

2,00:15-00:30,686.779957,17.748,49.436556,0,0,29.062808,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,28.09872,48.576,0,85.988,0,83.296,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

3,00:30-00:45,686.779957,17.748,49.436556,0,0,19.35568,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,28.09872,8.832,0,85.988,0,83.296,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

4,00:45-01:00,686.779957,17.748,49.436556,0,0,19.35568,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,32.82288,42.392196,0,6.5538,28.09872,8.832,0,85.988,0,83.296,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

5,01:00-01:15,686.779957,17.748,49.436556,0,0,19.35568,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,10.089,42.392196,0,6.5538,28.09872,8.832,0,85.988,0,83.296,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

6,01:15-01:30,686.779957,17.748,49.436556,0,0,19.35568,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,5.3808,42.392196,0,6.5538,13.983,8.832,0,85.988,0,83.296,0,0,0,64.617,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

7,01:30-01:45,686.779957,8.874,49.436556,0,0,19.35568,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,5.3808,42.392196,0,6.5538,13.983,8.832,0,85.988,0,83.296,0,0,0,65.16,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

8,01:45-02:00,686.779957,8.874,49.436556,0,0,19.35568,35.667,0,140.3454,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,5.3808,42.392196,0,6.5538,13.983,8.832,0,85.988,0,83.296,0,0,0,65.16,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,13.622,418.77

9,02:00-02:15,686.779957,8.874,49.436556,0,0,19.35568,35.667,0,132.58,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,5.3808,42.392196,0,6.5538,13.983,8.832,0,85.988,0,83.296,0,0,0,65.16,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,15.29,418.77

10,02:15-02:30,686.779957,8.874,49.436556,0,0,19.35568,35.667,0,132.58,39.51012,0,51.1407,39.7296,653.1525,19.985,1.07128,123.665625,45.36,0,139.3125,118.125,0,26.39091,92,0,5.3808,42.392196,0,6.5538,13.983,8.832,0,85.988,0,83.296,0,0,0,65.16,0,0,0,38.85,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,41.276,98.34375,16.17,20.0018,15.29,418.77

